slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found,stratum
0.exchange,0.exchange,Dexs,Avalanche,Avalanche;Binance;Polygon,51340.3875969544,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Avalanche
01,01,Derivatives,Solana,Solana,243198.13570394937,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Solana
0vix,0vix,Lending,Polygon,Polygon;Polygon zkEVM,0.0,Q1,1,1,0,0,0,,,0,exploited=1|audited=0|tvl=Q1|chain=Polygon
0x,0x,DEX Aggregator,,,0.0,Q1,0,0,0,0,0,,,0,
0x-aggregator,0x Aggregator,DEX Aggregator,,,0.0,Q1,0,0,0,0,0,,,0,
0x-nodes,0x NODES,Yield Aggregator,Ethereum,Ethereum;Binance;Polygon;Fantom;Metis;Avalanche,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Ethereum
0x0.ai,0x0.ai,Privacy,Ethereum,Ethereum,325784.43409469386,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Ethereum
0xacid,0xAcid,Liquid Staking,Arbitrum,Arbitrum,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Arbitrum
0xdao,0xDAO,Yield,Fantom,Fantom,42578.56267519203,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Fantom
0xlend,0xLend,Lending,Blast,Blast;zkSync Era;Kucoin,1164.470821065793,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Blast
0xscans,0xScans,Developer Tools,Ethereum,Ethereum,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Ethereum
10kdex,10KDex,Derivatives,Scroll,Scroll,102107.64597012122,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Scroll
10kswap,10KSwap,Dexs,Starknet,Starknet,853902.9951870741,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Starknet
1155tech,1155Tech,NFT Marketplace,Canto,Canto,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Canto
1776.meme,1776.MEME,Launchpad,Ethereum,Ethereum,832.7997445197562,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Ethereum
1bch,1BCH,Dexs,smartBCH,smartBCH,19143.186693348576,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=smartBCH
1beam,1Beam,Dexs,Moonbeam,Moonbeam,3303.7574681172773,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Moonbeam
1delta,1delta,DEX Aggregator,,,0.0,Q1,0,0,0,0,0,,,0,
1dex,1DEX,Dexs,EOS,EOS,308591.09191531216,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=EOS
1intro,1INTRO,Dexs,Solana,Solana,102254.74402892053,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Solana
1pulse,1Pulse,Dexs,Pulse,Pulse,7.126674169151049,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Pulse
1swap,1Swap,Dexs,Moonriver,Moonriver,974.7834496538154,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Moonriver
