slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found
alvey-dex,Alvey Dex,Dexs,ALV,ALV,0.0,Q1,0,0,0,0,0,,,0
acala-swap,Acala Swap,Dexs,Acala,Acala,0.0,Q1,0,0,0,0,0,,,0
acala-dollar,Acala Dollar,CDP,Acala,Acala,0.0,Q1,0,0,0,0,0,,,0
astra,Astra,Dexs,AirDAO,AirDAO,0.0,Q1,0,0,0,0,0,,,0
kosmos,Kosmos,Yield,AirDAO,AirDAO,0.0,Q1,0,0,0,0,0,,,0
firepotswap,FirepotSwap,Dexs,AirDAO,AirDAO,0.0,Q1,0,0,0,0,0,,,0
airdao-hera-pool,AirDAO Hera pool,Chain,AirDAO,AirDAO,0.0,Q1,0,0,0,0,0,,,0
harbor-liquid-staking,Harbor Liquid Staking,Liquid Staking,AirDAO,AirDAO,0.0,Q1,0,0,0,0,0,,,0
alphpad,AlphPad,Launchpad,Alephium,Alephium,0.0,Q1,0,0,0,0,0,,,0
opulous,Opulous,Farm,Algorand,Algorand;Arbitrum,0.0,Q1,0,0,0,0,0,,,0
xbacked,xBacked,CDP,Algorand,Algorand,0.0,Q1,0,0,0,0,0,,,0
yieldly,Yieldly,Yield,Algorand,Algorand,0.0,Q1,0,0,0,0,0,,,0
apechainstake,ApeChainStake,Yield,ApeChain,ApeChain,0.0,Q1,0,0,0,0,0,,,0
mosquitos-finance,Mosquitos Finance,Yield,Aptos,Aptos,0.0,Q1,0,0,0,0,0,,,0
thala-vethl,Thala veTHL,Liquid Staking,Aptos,Aptos,0.0,Q1,0,0,0,0,0,,,0
bluemove-staking,BlueMove Staking,NFT Marketplace,Aptos,Aptos,0.0,Q1,0,0,0,0,0,,,0
movegpt,MoveGPT,Launchpad,Aptos,Aptos,0.0,Q1,0,0,0,0,0,,,0
tribe3,Tribe3,Derivatives,Arbitrum,Arbitrum,0.0,Q1,0,0,0,0,0,,,0
octopus-finance,Octopus Finance,Yield Aggregator,Arbitrum,Arbitrum,3.394267702222315e-05,Q1,0,0,0,0,0,,,0
omicron,Omicron,Reserve Currency,Arbitrum,Arbitrum,0.0,Q1,0,0,0,0,0,,,0
strips-finance,Strips Finance,Derivatives,Arbitrum,Arbitrum,0.0,Q1,0,0,0,0,0,,,0
sohei,Sohei,Lending,Arbitrum,Arbitrum,2.0009900027717867e-06,Q1,0,0,0,0,0,,,0
artexswap,ArtexSwap,Dexs,Artela,Artela,0.0,Q1,0,0,0,0,0,,,0
valerian,Valerian,Yield,Astar,Astar,0.0,Q1,0,0,0,0,0,,,0
astarfarm,AstarFarm,Gaming,Astar,Astar,0.0,Q1,0,0,0,0,0,,,0
halotrade-evm,HaloTrade EVM,Dexs,Aura Network,Aura Network,0.8519272947864089,Q1,0,0,0,0,0,,,0
bluebit,BlueBit,Yield Aggregator,Aurora,Aurora,0.0,Q1,0,0,0,0,0,,,0
chronicle,Chronicle,Services,Aurora,Aurora,0.0,Q1,0,0,0,0,0,,,0
smartpad,SmartPad,Launchpad,Aurora,Aurora;Ethereum;Polygon,0.0,Q1,0,0,0,0,0,,,0
empyrean-dao,Empyrean DAO,Reserve Currency,Aurora,Aurora,0.0,Q1,0,0,0,0,0,,,0
ora-finance,ORA Finance,Algo-Stables,Aurora,Aurora,0.0,Q1,0,0,0,0,0,,,0
piggybank-dao,Piggybank DAO,Reserve Currency,Avalanche,Avalanche,6.6806942100000015e-16,Q1,0,0,0,0,0,,,0
cesta-finance,Cesta Finance,Reserve Currency,Avalanche,Avalanche,0.0,Q1,0,0,0,0,0,,,0
polar-bear-finance,Polar Bear Finance,Algo-Stables,Avalanche,Avalanche,0.0,Q1,0,0,0,0,0,,,0
everestdao,EverestDAO,DAO Service Provider,Avalanche,Avalanche,0.0,Q1,0,0,0,0,0,,,0
ice-dao,Ice DAO,Reserve Currency,Avalanche,Avalanche,0.0,Q1,0,0,0,0,0,,,0
vaultwin,VaultWin,Gaming,Bahamut,Bahamut,0.5449099727921087,Q1,0,0,0,0,0,,,0
vertex-perps,Vertex Perps,Derivatives,Base,Base;Avalanche;Mantle;Sei;Sonic;Abstract;Arbitrum,0.0,Q1,0,0,0,0,0,,,0
dragon-protocol,Dragon Protocol,Farm,Base,Base,0.0,Q1,0,0,0,0,0,,,0
pod-finance,Pod Finance,Farm,Base,Base,0.0,Q1,0,0,0,0,0,,,0
stakin,Stakin,Ponzi,Base,Base,2.4861656164882857e-10,Q1,0,0,0,0,0,,,0
hackenai,HackenAI,Prediction Market,Base,Base,0.0,Q1,0,0,0,0,0,,,0
beralis-v2,Beralis V2,Dexs,Berachain,Berachain,0.0251760665421244,Q1,0,0,0,0,0,,,0
celeron,Celeron,Yield Aggregator,Berachain,Berachain;Mode,0.7720956792816605,Q1,0,0,0,0,0,,,0
azex,AZEX,Derivatives,Berachain,Berachain;Unichain,0.0112228168156837,Q1,0,0,0,0,0,,,0
beralis-v3,Beralis V3,Dexs,Berachain,Berachain,0.5558341001650016,Q1,0,0,0,0,0,,,0
gyro,Gyro,Reserve Currency,Binance,Binance,0.0,Q1,0,0,0,0,0,,,0
amesdefi,AmesDefi,Algo-Stables,Binance,Binance,0.0,Q1,0,0,0,0,0,,,0
laika-ai,Laika AI,AI Agents,Binance,Binance,0.0,Q1,0,0,0,0,0,,,0
grizzly-trade-perps,Grizzly Trade Perps,Derivatives,Binance,Binance,0.0,Q1,0,0,0,0,0,,,0
bitindi-staking,Bitindi Staking,Liquid Staking,Binance,Binance;Bitindi,0.0,Q1,0,0,0,0,0,,,0
pstake-btc,pSTAKE BTC,Restaked BTC,Bitcoin,Bitcoin,0.5374354753660533,Q1,0,0,0,0,0,,,0
allobtc,alloBTC,Restaked BTC,Bitcoin,Bitcoin,0.4910731886080022,Q1,0,0,0,0,0,,,0
brise-swap,Brise Swap,Dexs,Bitgert,Bitgert,0.045812072281278,Q1,0,0,0,0,0,,,0
bitgert-swap,Bitgert Swap,Dexs,Bitgert,Bitgert,5.265138158858488e-05,Q1,0,0,0,0,0,,,0
bitindi-dex,Bitindi Dex,Dexs,Bitindi,Bitindi,0.0,Q1,0,0,0,0,0,,,0
xenwave,Xenwave,Dexs,Bitnet,Bitnet,0.0,Q1,0,0,0,0,0,,,0
rockswap,Rockswap,Dexs,Bitrock,Bitrock,0.0,Q1,0,0,0,0,0,,,0
rock-staking,Rock Staking,Staking Pool,Bitrock,Bitrock,0.0,Q1,0,0,0,0,0,,,0
blinkswap,Blinkswap,Dexs,Blast,Blast,0.5208299541997887,Q1,0,0,0,0,0,,,0
alien-finance,Alien Finance,Lending,Blast,Blast,0.0,Q1,0,0,0,0,0,,,0
leaper-finance,Leaper Finance,Lending,Blast,Blast,0.2770140000000122,Q1,0,0,0,0,0,,,0
lemonblast,LemonBlast,Farm,Blast,Blast,1.1336376902778916e-13,Q1,0,0,0,0,0,,,0
blastbrrr,Blastbrrr,Farm,Blast,Blast,0.0,Q1,0,0,0,0,0,,,0
shibui-dao,Shibui DAO,NFT Marketplace,Boba,Boba,0.0,Q1,0,0,0,0,0,,,0
bananafarm,BananaFarm,Yield,Boba,Boba,0.0,Q1,0,0,0,0,0,,,0
boneswap-bonerium,BoneSwap Bonerium,Dexs,Bone,Bone,0.0,Q1,0,0,0,0,0,,,0
artura-finance,Artura Finance,Derivatives,Botanix,Botanix,0.0,Q1,0,0,0,0,0,,,0
babyboom,BabyBoom,Launchpad,BounceBit,BounceBit,0.0292008725497666,Q1,0,0,0,0,0,,,0
bouncebit-staking,BounceBit Staking,Farm,BounceBit,BounceBit,0.0,Q1,0,0,0,0,0,,,0
club-quanto,Club Quanto,Derivatives,BounceBit,BounceBit,3.518524638018913e-09,Q1,0,0,0,0,0,,,0
club-btcfi,Club BTCFi,Bridge,BounceBit,BounceBit,0.0,Q1,0,0,0,0,0,,,0
club-musangking,Club MusangKing,Farm,BounceBit,BounceBit,0.0,Q1,0,0,0,0,0,,,0
broswap,BroSwap,Dexs,CORE,CORE,1.161418115904562e-16,Q1,0,0,0,0,0,,,0
oreswap,OreSwap,Dexs,CORE,CORE,0.6854251515022585,Q1,0,0,0,0,0,,,0
agus,Agus,Dexs,CORE,CORE;Binance,0.039547708994777,Q1,0,0,0,0,0,,,0
ignore-fud,Ignore Fud,Staking Pool,CORE,CORE,0.0,Q1,0,0,0,0,0,,,0
waterloan,WaterLoan,Lending,CSC,CSC;smartBCH,0.0,Q1,0,0,0,0,0,,,0
1155tech,1155Tech,NFT Marketplace,Canto,Canto,0.0,Q1,0,0,0,0,0,,,0
cadence-protocol,Cadence Protocol,Derivatives,Canto,Canto,0.3837087218256728,Q1,0,0,0,0,0,,,0
manifesto,Manifesto,Reserve Currency,Canto,Canto,0.0,Q1,0,0,0,0,0,,,0
orcfax,Orcfax,Oracle,Cardano,Cardano,0.0,Q1,0,0,0,0,0,,,0
adax-pro,ADAX Pro,Dexs,Cardano,Cardano,0.0,Q1,0,0,0,0,0,,,0
tangent-protocol,Tangent Protocol,Yield,Cardano,Cardano,0.0,Q1,0,0,0,0,0,,,0
world-mobile-token,World Mobile Token,Services,Cardano,Cardano,0.0,Q1,0,0,0,0,0,,,0
iagon,Iagon,Services,Cardano,Cardano,0.0,Q1,0,0,0,0,0,,,0
impactmarket,ImpactMarket,Yield,Celo,Celo,0.0,Q1,0,0,0,0,0,,,0
truefeedback,TrueFeedBack,Gaming,Celo,Celo;Kava,0.0,Q1,0,0,0,0,0,,,0
nodo,NODO,Prediction Market,Celo,Celo;Polygon;Avalanche;Binance;Base,0.8447894058784089,Q1,0,0,0,0,0,,,0
immortal,Immortal,Reserve Currency,Celo,Celo,0.0,Q1,0,0,0,0,0,,,0
talent-protocol-v1,Talent Protocol V1,SoFi,Celo,Celo,0.0083429187478856,Q1,0,0,0,0,0,,,0
peppercoin,Peppercoin,Governance Incentives,Chiliz,Chiliz,0.0,Q1,0,0,0,0,0,,,0
fan-token-staking,Fan Token Staking,Farm,Chiliz,Chiliz,0.0,Q1,0,0,0,0,0,,,0
coti-treasury,COTI Treasury,Yield,Coti,Coti,0.0,Q1,0,0,0,0,0,,,0
agile-finance,Agile Finance,Lending,Cronos,Cronos,0.0,Q1,0,0,0,0,0,,,0
turtle-cronos,Turtle Cronos,Meme,Cronos,Cronos,0.0,Q1,0,0,0,0,0,,,0
papparico-finance,Papparico Finance,Farm,Cronos,Cronos,0.0,Q1,0,0,0,0,0,,,0
bank-of-cronos-ohm,Bank of Cronos OHM,Reserve Currency,Cronos,Cronos,0.0,Q1,0,0,0,0,0,,,0
galatea-cash,Galatea Cash,Algo-Stables,Cronos,Cronos,0.0,Q1,0,0,0,0,0,,,0
xfi-native-staking-protocol,XFI Native Staking Protocol,Staking Pool,CrossFi,CrossFi,0.0,Q1,0,0,0,0,0,,,0
xapp,xApp,Staking Pool,CrossFi,CrossFi,0.0,Q1,0,0,0,0,0,,,0
capricorn-finance,Capricorn Finance,Dexs,Cube,Cube,0.0,Q1,0,0,0,0,0,,,0
dengendex,DengenDex,Dexs,Degen,Degen,0.0,Q1,0,0,0,0,0,,,0
zenon-finance,Zenon Finance,Dexs,Degen,Degen,0.0,Q1,0,0,0,0,0,,,0
frogswap-amm,Frogswap AMM,Dexs,Degen,Degen,0.0,Q1,0,0,0,0,0,,,0
degenfund,DegenFund,Farm,Degen,Degen,0.0,Q1,0,0,0,0,0,,,0
frogswap-farm,Frogswap Farm,Farm,Degen,Degen,0.0,Q1,0,0,0,0,0,,,0
dexit-finance-swap,Dexit Finance Swap,Dexs,Dexit,Dexit,0.0,Q1,0,0,0,0,0,,,0
corgi-finance,Corgi Finance,Yield Aggregator,Dogechain,Dogechain,0.0,Q1,0,0,0,0,0,,,0
cowaii-cash,Cowaii Cash,Algo-Stables,Dogechain,Dogechain,0.0,Q1,0,0,0,0,0,,,0
dragonfruit-protocol,Dragonfruit Protocol,Farm,Dogechain,Dogechain,0.0,Q1,0,0,0,0,0,,,0
doge-shrek,Doge Shrek,Dexs,Dogechain,Dogechain,0.0,Q1,0,0,0,0,0,,,0
donaswap-v2,DONASWAP V2,Dexs,Dogechain,Dogechain;Binance;Polygon;Base;CMP;Heco;CORE;Ethereum;Aurora;Palm;Fantom;Conflux;Avalanche;Kardia;Kava;Polygon zkEVM;Metis;Fuse;Linea;Celo;Flare;Kucoin;Arbitrum;ThunderCore;Astar;Moonbeam;Optimism;Moonriver;Fusion,1.0180186883660742,Q1,0,0,0,0,0,,,0
obswap,OBSwap,Dexs,EOS,EOS,0.0887249939950513,Q1,0,0,0,0,0,,,0
