case_name,exploit_date,classification,technique,loss_usd,chain,bridgeHack,targetType,returnedFunds,defillamaId,language,source_url,parentProtocolId,exploit_dt,exploit_date_iso,case_id,protocol_id
Super Sushi Samurai,3/22/24,Protocol Logic,Infinite Mint and Dump,4800000.0,Blast,False,Gaming,,,Solidity,https://rekt.news/sss-rekt/,,2024-03-22,2024-03-22,super-sushi-samurai__2024-03-22__70d14a25,name#super-sushi-samurai
Unizen,3/8/24,Protocol Logic,External Call Vulnerability,2100000.0,Ethereum,False,DeFi Protocol,2100000.0,1336.0,Solidity,https://twitter.com/peckshield/status/1766210445415727608,,2024-03-08,2024-03-08,unizen__2024-03-08__4f10a911,defillama#1336
AutoShark,5/24/21,Ecosystem,Flashloan Incentive Rewards Exploit,745000.0,BSC,False,DeFi Protocol,,1074.0,,https://watchpug.medium.com/sharkfinance-performance-fee-minting-incident-analysis-4b2e3bd03923,,2021-05-24,2021-05-24,autoshark__2021-05-24__8498618a,defillama#1074
Siren,9/3/21,Smart Contract Language,Reentrancy,3450000.0,Polygon,False,DeFi Protocol,,203.0,Solidity,https://twitter.com/BlockSecTeam/status/1433682132090568705?s=20&t=yoeOhpvaWABdrYwfwtTJ0Q,,2021-09-03,2021-09-03,siren__2021-09-03__8f15bb3f,defillama#203
MangoFarmSol,1/7/24,Rugpull,Frontend Attack,2000000.0,Solana,False,DeFi Protocol,,,Rust,https://cointelegraph.com/news/funds-mangofarmsol-drained-community-rug-pull,,2024-01-07,2024-01-07,mangofarmsol__2024-01-07__ba67f480,name#mangofarmsol
MyAlgo,2/27/23,Infrastructure,Cloudflare Key Compromised,9200000.0,Algorand,False,Wallet,,,Javascript,https://twitter.com/zachxbt/status/1630375691886686208?s=20,,2023-02-27,2023-02-27,myalgo__2023-02-27__70079ec6,name#myalgo
Zunami Protocol,5/15/25,Protocol Logic,withdrawStuckToken() exploit,500000.0,Ethereum,False,DeFi Protocol,,1201.0,Solidity,https://x.com/ZunamiProtocol/status/1922993510925435267,,2025-05-15,2025-05-15,zunami-protocol__2025-05-15__e95900de,defillama#1201
Impermax V3,11/11/25,Protocol Logic,Zero-Rate Hack,380000.0,Base,False,DeFi Protocol,,5981.0,Solidity,https://x.com/hklst4r/status/1988339762537918895,parent#impermax-finance,2025-11-11,2025-11-11,impermax-v3__2025-11-11__8a4c1d3b,parent#impermax-finance
DAO Maker Vesting,8/12/21,Infrastructure,Private Key Compromised (Unknown Method),7000000.0,Ethereum,False,DeFi Protocol,,921.0,,https://cointelegraph.com/news/dao-maker-crowdfunding-platform-loses-7m-in-latest-defi-exploit,parent#dao-maker,2021-08-12,2021-08-12,dao-maker-vesting__2021-08-12__8d31bd3a,parent#dao-maker
M2 Exchange,10/31/24,Protocol Logic,Access Control Exploit,13700000.0,"Ethereum,Solana,Bitcoin",False,CEX,,,,https://x.com/CyversAlerts/status/1852303223903633572,,2024-10-31,2024-10-31,m2-exchange__2024-10-31__84979d5c,name#m2-exchange
UPCX,4/1/25,Protocol Logic,Upgraded ProxyAdmin + withdrawByAdmin Hack,,Ethereum,False,DeFi Protocol,,,Solidity,https://x.com/cyversalerts/status/1907046941906653633,,2025-04-01,2025-04-01,upcx__2025-04-01__b0f2b73c,name#upcx
four.meme,2/11/25,Protocol Logic,Liquidity Pool Exploit,183000.0,BSC,False,DeFi Protocol,,5174.0,Solidity,https://x.com/peckshieldalert/status/1889210001220423765,,2025-02-11,2025-02-11,four-meme__2025-02-11__fddf1169,defillama#5174
Multichain,7/10/21,Protocol Logic,Private Key Compromised (Bad ECDSA Implementation),7900000.0,"Ethereum,BSC,Fantom",True,CEX,,591.0,Solidity,https://rekt.news/anyswap-rekt/,,2021-07-10,2021-07-10,multichain__2021-07-10__24ec6c38,defillama#591
Kannagi,7/30/23,Rugpull,Drained Contracts,1100000.0,"zkSync Era,Ethereum",False,DeFi Protocol,,,,https://x.com/PeckShieldAlert/status/1685162644653973510,,2023-07-30,2023-07-30,kannagi__2023-07-30__b971f368,name#kannagi
xToken,5/12/21,Ecosystem,Flashloan Price Oracle Attack,24000000.0,Ethereum,False,DeFi Protocol,,206.0,Solidity,https://twitter.com/FrankResearcher/status/1392515198674681863?s=20,,2021-05-12,2021-05-12,xtoken__2021-05-12__5be55715,defillama#206
BingX,9/20/24,Infrastructure,Hot wallet hack,43300000.0,Ethereum,False,CEX,,4859.0,,https://x.com/OnchainDataNerd/status/1836977341094150398,,2024-09-20,2024-09-20,bingx__2024-09-20__a33b1282,defillama#4859
Thorchain DEX,7/22/21,Protocol Logic,Refund Logic Exploit,8000000.0,Ethereum,False,DeFi Protocol,,412.0,Solidity,https://rekt.news/thorchain-rekt2/,,2021-07-22,2021-07-22,thorchain-dex__2021-07-22__87eb8f99,defillama#412
DAO Maker Vesting,9/4/21,Protocol Logic,Access Control Exploit,4000000.0,Ethereum,False,DeFi Protocol,,921.0,Solidity,https://twitter.com/Mudit__Gupta/status/1434059922774237185?s=20&t=aoOtJLS6FHimjAE1anc1mg,parent#dao-maker,2021-09-04,2021-09-04,dao-maker-vesting__2021-09-04__e08768ad,parent#dao-maker
Safe Dollar,6/28/21,Protocol Logic,Incentive Rewards Exploit,248000.0,Polygon,False,DeFi Protocol,,424.0,Solidity,https://rekt.news/safedollar-rekt/,,2021-06-28,2021-06-28,safe-dollar__2021-06-28__3ce207bd,defillama#424
BetterBank,8/26/25,Protocol Logic,Infinite Mint and Dump,5000000.0,PulseChain,False,DeFi Protocol,,6611.0,Solidity,https://x.com/BetterBank_io/status/1960409391628189749,,2025-08-26,2025-08-26,betterbank__2025-08-26__278cc2cf,defillama#6611
Grand Base,4/15/24,Infrastructure,Private Key Compromised (Unknown Method),1700000.0,Base,False,DeFi Protocol,,,Solidity,https://twitter.com/PeckShieldAlert/status/1779796368732872856,,2024-04-15,2024-04-15,grand-base__2024-04-15__029fc2e1,name#grand-base
FixedFloat,2/18/24,Infrastructure,Private Key Compromised,26100000.0,"Ethereum,Bitcoin",False,DeFi Protocol,,,,https://cointelegraph.com/news/fixed-float-confirms-26m-exploit-bitcoin-ether,,2024-02-18,2024-02-18,fixedfloat__2024-02-18__ac850814,name#fixedfloat
Saddle Finance,4/30/22,Ecosystem,Flashloan Swap Logic Exploit,11000000.0,Ethereum,False,DeFi Protocol,,202.0,Solidity,https://rekt.news/saddle-finance-rekt2/,,2022-04-30,2022-04-30,saddle-finance__2022-04-30__bb7b012f,defillama#202
Nomad,8/1/22,Protocol Logic,Trusted Root Exploit,190000000.0,Ethereum,True,DeFi Protocol,,1682.0,Solidity,https://twitter.com/samczsun/status/1554252024723546112?s=20&t=mesLZTckBsl_X2_KbGcEHQ,,2022-08-01,2022-08-01,nomad__2022-08-01__df609a4e,defillama#1682
Elephant Money,4/12/22,Ecosystem,Flashloan Price Oracle Attack,22200000.0,BSC,False,DeFi Protocol,,1378.0,Solidity,https://twitter.com/BlockSecTeam/status/1513966074357698563,,2022-04-12,2022-04-12,elephant-money__2022-04-12__6bf7d7a5,defillama#1378
Euler V1,3/13/23,Protocol Logic,Flashloan Donate Function Logic Exploit,197000000.0,Ethereum,False,DeFi Protocol,240000000.0,1183.0,Solidity,https://twitter.com/peckshield/status/1635229594596036608?s=20,parent#euler,2023-03-13,2023-03-13,euler-v1__2023-03-13__c656e0c8,parent#euler
Unleash Protocol,12/30/25,Protocol Logic,Multisig Governance Hack,3900000.0,Story,False,DeFi Protocol,,5793.0,Solidity,https://x.com/UnleashProtocol/status/2005907998691229933,,2025-12-30,2025-12-30,unleash-protocol__2025-12-30__2dee68c9,defillama#5793
Orion Pools,2/2/23,Protocol Logic,Reentrancy,3000000.0,BSC,False,DeFi Protocol,,496.0,Solidity,https://twitter.com/peckshield/status/1621337925228306433?s=20&t=ZroERzkeCrxy3gHxtboQeA,parent#orion-protocol,2023-02-02,2023-02-02,orion-pools__2023-02-02__1c598c4a,parent#orion-protocol
DIMO,11/7/25,Protocol Logic,Private Key Compromised,40000.0,Ethereum,True,DeFi Protocol,,,,https://x.com/DIMO_Network/status/1986847282889957391,,2025-11-07,2025-11-07,dimo__2025-11-07__46d83b05,name#dimo
Locus Finance,12/30/23,Infrastructure,Private Key Compromised (Unknown Method),321000.0,"Ethereum,Arbitrum",False,DeFi Protocol,,3371.0,,https://twitter.com/Locus_finance/status/1744374506267767267,,2023-12-30,2023-12-30,locus-finance__2023-12-30__94d861a3,defillama#3371
Abracadabra Spell,1/30/24,Protocol Logic,Borrow Logic Exploit,6500000.0,Ethereum,False,DeFi Protocol,,347.0,Solidity,https://twitter.com/peckshield/status/1752279373779194011,parent#abracadabra,2024-01-30,2024-01-30,abracadabra-spell__2024-01-30__2a9202c2,parent#abracadabra
DEUS Finance,4/28/22,Ecosystem,Flashloan Price Oracle Attack,13400000.0,Fantom,False,DeFi Protocol,,1387.0,Solidity,https://twitter.com/peckshield/status/1519530463337250817?s=20&t=Mr6sVLBWq_A0ej9Y3-qstA,,2022-04-28,2022-04-28,deus-finance__2022-04-28__71e33e42,defillama#1387
Level Perps,5/1/23,Protocol Logic,Referral Claims Logic Exploit,1000000.0,BSC,False,DeFi Protocol,,2395.0,Solidity,https://twitter.com/peckshield/status/1653149493133729794?t=ojjCnRcDogo3lOKIy8cKgA&s=19,parent#level-finance,2023-05-01,2023-05-01,level-perps__2023-05-01__cc1491f3,parent#level-finance
CoinSpot,11/9/23,Infrastructure,Private Key Compromised (Unknown Method),2400000.0,Ethereum,False,CEX,,,,https://twitter.com/PeckShieldAlert/status/1722412658404843691,,2023-11-09,2023-11-09,coinspot__2023-11-09__fe23703d,name#coinspot
