match_key,protocol_id,protocol_slug_final
arbitrum:0x004a733aa20ea2caddba6af62bb56aa96dce4922,parent#unmapped,unmapped
arbitrum:0x01a3c8e513b758ebb011f7afaf6c37616c9c24d9,parent#unmapped,unmapped
arbitrum:0x01b6407adf740d135ddf1ebdd1529407845773f3,parent#unmapped,unmapped
arbitrum:0x01d3e7271c278aa3aa56eeba6a109b2c200679fa,parent#unmapped,unmapped
arbitrum:0x029a4a97e892e7270d9b3b90bfef95599bc6bfd6,parent#unmapped,unmapped
arbitrum:0x02c282f60fb2f3299458c2b85eb7e303b25fc6f0,parent#unmapped,unmapped
arbitrum:0x02d0123a89ae6ef27419d5ebb158d1ed4cf24fa3,parent#unmapped,unmapped
arbitrum:0x03ff2d78afb69e0859ec6beb4cf107d3741e97ab,parent#unmapped,unmapped
arbitrum:0x04901268ee65e989852370c0bad08e1514a0c484,parent#davos-protocol,davos-protocol
arbitrum:0x04ec26b47e48f60740c803ba93b1a6c9e83cafaa,parent#unmapped,unmapped
arbitrum:0x057153eb8ad87bd483ff9ec4e411b8c3bce90ff0,parent#unmapped,unmapped
arbitrum:0x0635b76fc26c1d65bb2d761ee2fc4652e8bf5ca8,parent#unmapped,unmapped
arbitrum:0x0711c9f411ffc4fe331256e83ee8c910a997a16a,parent#unmapped,unmapped
arbitrum:0x0776c06907ce6ff3d9dbf84ba9b3422d7225942d,parent#penpie,penpie
arbitrum:0x07adf588508b923b8ea0389d27b61b9cb8a197cb,parent#defi.money,defi.money
arbitrum:0x07d49375a3213ef25aaa47c97a2d23a754bb8f8a,parent#unmapped,unmapped
arbitrum:0x088cd8f5ef3652623c22d48b1605dcfe860cd704,parent#vela-exchange,vela-exchange
arbitrum:0x09090e22118b375f2c7b95420c04414e4bf68e1a,parent#unmapped,unmapped
arbitrum:0x097b15dc3bcfa7d08ea246c09b6a9a778e5b007b,parent#unmapped,unmapped
arbitrum:0x0b619438d1e8b8c205656502de59af2af71c43e0,parent#unmapped,unmapped
arbitrum:0x0bac1a3d569c16d8ad9d3ab37f61daf18dcff781,parent#airpuff,airpuff
arbitrum:0x0bd623e8150918b4252a1df407b914250ace4cc6,parent#seneca,seneca
arbitrum:0x0d189fd8d46e43b2f13390de95d4f8e185eb3914,parent#unmapped,unmapped
arbitrum:0x0ddce00654f968ded59a444da809f2b234047ab1,parent#empyreal,empyreal
arbitrum:0x0e4dbc3f201f33876ec7b53495076eca0fc26821,parent#unmapped,unmapped
arbitrum:0x0eb5b03c0303f2f47cd81d7be4275af8ed347576,parent#unmapped,unmapped
arbitrum:0x0f6f73c7ecce4fb9861e25dabde79cba112550b3,parent#cropper-amm,cropper-amm
arbitrum:0x0f96d8c1277bd75a251238af952a7a99db1320e3,parent#unmapped,unmapped
arbitrum:0x0fa29eeb169cde6c779326d7b16c54529eca1dd5,parent#unmapped,unmapped
arbitrum:0x0fae768ef2191fdfcb2c698f691c49035a53ef0f,parent#unmapped,unmapped
arbitrum:0x10010078a54396f62c96df8532dc2b4847d47ed3,parent#tarot,tarot
arbitrum:0x100ec08129e0fd59959df93a8b914944a3bbd5df,parent#unmapped,unmapped
arbitrum:0x1054e9d9091dc55a1738f9c8fc0c79e59e222804,parent#unmapped,unmapped
arbitrum:0x1058afe66bb5b79c295ccce51016586949bc4e8d,parent#cap,cap
arbitrum:0x12d773bb0c679d4dfbaf700086dc5e399656f892,parent#unmapped,unmapped
arbitrum:0x1382ecdf09507ba87022c79312dfafb2a5063d73,parent#arbicheems,arbicheems
arbitrum:0x15084e92785027d4d4918cabfa11281fc15bf9ac,parent#unmapped,unmapped
arbitrum:0x160ca569999601bca06109d42d561d85d6bb4b57,parent#unmapped,unmapped
arbitrum:0x1622bf67e6e5747b81866fe0b85178a93c7f86e3,parent#crvusd,crvusd
arbitrum:0x164731cd270daa4a94bc70761e53320e48367b8b,parent#unmapped,unmapped
arbitrum:0x1704a75bc723a018d176dc603b0d1a361040df16,parent#unmapped,unmapped
arbitrum:0x173817f33f1c09bcb0df436c2f327b9504d6e067,parent#unmapped,unmapped
arbitrum:0x178412e79c25968a32e89b11f63b33f733770c2a,parent#primex-finance,primex-finance
arbitrum:0x1785e8491e7e9d771b2a6e9e389c25265f06326a,parent#unmapped,unmapped
arbitrum:0x17933112e9780abd0f27f2b7d9dda9e840d43159,parent#wepiggy,wepiggy
arbitrum:0x17fc002b466eec40dae837fc4be5c67993ddbd6f,parent#sentiment,sentiment
arbitrum:0x18ac4eb45e3ee74bded0b97e0d08f2a3ca992f7e,parent#unmapped,unmapped
arbitrum:0x1a3c9b1d2f0529d97f2afc5136cc23e58f1fd35b,parent#unmapped,unmapped
arbitrum:0x1a5b0aaf478bf1fda7b934c76e7692d722982a6d,parent#unmapped,unmapped
arbitrum:0x1a6b3a62391eccaaa992ade44cd4afe6bec8cff1,parent#unmapped,unmapped
arbitrum:0x1b35727072435bb97fbe8cc378eb6973c98faab3,parent#unmapped,unmapped
arbitrum:0x1b896893dfc86bb67cf57767298b9073d2c1ba2c,parent#unmapped,unmapped
arbitrum:0x1c6e968f2e6c9dec61db874e28589fd5ce3e1f2c,parent#impermax-v2,impermax-v2
arbitrum:0x1cc05b01f2e52ae3bb29f7a0059fe112c60aa3f4,parent#unmapped,unmapped
arbitrum:0x1ccf20f4ee3efd291267c07268becbfdfd192311,parent#unmapped,unmapped
arbitrum:0x1d9b044393804ccfa2da3127470c9f65d4e0e5e6,parent#logx-v2,logx-v2
arbitrum:0x1e34a77868e19a6647b1f2f47b51ed72dede95dd,parent#tornadao,tornadao
arbitrum:0x1e6a358a1721e0d2b84f39fd328fc03a1b6e863b,parent#unmapped,unmapped
arbitrum:0x1f52145666c862ed3e2f1da213d479e61b2892af,parent#unmapped,unmapped
arbitrum:0x207472891af32f5636c35d9ca8e17464df7108bb,parent#unmapped,unmapped
arbitrum:0x20a5c32ee19bcdb2635455859e64ba5a1d1acab2,parent#unmapped,unmapped
arbitrum:0x2117e6449b3c50b70705bf1566383b1a94bd5192,parent#unmapped,unmapped
arbitrum:0x231a584095dbfb73a0201d6573260bc646566c98,parent#unmapped,unmapped
arbitrum:0x2395e53b250f091f38858ca9e75398181d45682b,parent#neuron,neuron
arbitrum:0x25b9f82d1f1549f97b86bd0873738e30f23d15ea,parent#unmapped,unmapped
arbitrum:0x25ef108b328cf752f0e0b0169d499db164173763,parent#unmapped,unmapped
arbitrum:0x25f5967b0fb3182d7fcacef3b53e1b2517a31daf,parent#unmapped,unmapped
arbitrum:0x275720567e5955f5f2d53a7a1ab8a0fc643de50e,parent#unmapped,unmapped
arbitrum:0x27788f93eebb53728b887f13c16ada286e1b6e92,parent#unmapped,unmapped
arbitrum:0x27d8de4c30ffde34e982482ae504fc7f23061f61,parent#mymetatrader,mymetatrader
arbitrum:0x27f0408729dcc6a4672e1062f5003d2a07e4e10d,parent#unmapped,unmapped
arbitrum:0x2821198a42a88148cd0250433548b38e40981d82,parent#unmapped,unmapped
arbitrum:0x283c41b726634fbd6b72aa22741b202db7e56aac,parent#unmapped,unmapped
arbitrum:0x28fda5fb2ac9436bc4bb8bedafee25a550956de6,parent#unmapped,unmapped
arbitrum:0x296a0b8847bd4ed9af71a9ef238fa5be0778b611,parent#unmapped,unmapped
arbitrum:0x29da4ff649d39510f633cd804b860858c333e5ad,parent#unmapped,unmapped
arbitrum:0x2b3554d6810fa2cec563b0bc731abac60a717f3b,parent#amy-finance,amy-finance
arbitrum:0x2b8e28667a29a5ab698b82e121f2b9edd9271e93,parent#unmapped,unmapped
arbitrum:0x2bcc6d6cdbbdc0a4071e48bb3b969b06b3330c07,parent#vaultka,vaultka
arbitrum:0x2c41fb81cfc64cd1373058f2a13289819641d223,parent#unmapped,unmapped
arbitrum:0x2c5058325373d02dfd6c08e48d91fcaf8fd49f45,parent#kaoyaswap,kaoyaswap
arbitrum:0x2cab3abfc1670d1a452df502e216a66883cdf079,parent#unmapped,unmapped
arbitrum:0x2ccf21e5912e9ecccb0ecdee9744e5c507cf88ae,parent#unmapped,unmapped
arbitrum:0x2dafe4dd7c661c2ceaf967d51206f5130aa32782,parent#unmapped,unmapped
arbitrum:0x2df1c51e09aecf9cacb7bc98cb1742757f163df7,parent#unmapped,unmapped
arbitrum:0x2e2071180682ce6c247b1ef93d382d509f5f6a17,parent#unmapped,unmapped
arbitrum:0x2e80259c9071b6176205ff5f5eb6f7ec8361b93f,parent#unmapped,unmapped
arbitrum:0x2f9805038114b9ddcf99316a5b4db2ec820322d3,parent#unmapped,unmapped
arbitrum:0x30acd3e86f42fcc87c6fb9873058d8d7133785d4,parent#davos-protocol,davos-protocol
arbitrum:0x31c91d8fb96bff40955dd2dbc909b36e8b104dde,parent#unmapped,unmapped
arbitrum:0x32e5594f14de658b0d577d6560fa0d9c6f1aa724,parent#unmapped,unmapped
arbitrum:0x32eb7902d4134bf98a28b963d26de779af92a212,parent#aura,aura
arbitrum:0x330bdfade01ee9bf63c209ee33102dd334618e0a,parent#tornadao,tornadao
arbitrum:0x3338b85fb1607c519962571b67061e02408475bb,parent#unmapped,unmapped
arbitrum:0x34b5870c0431158e11c68b770127fbd2ce953f7a,parent#unmapped,unmapped
arbitrum:0x360e50b2af3af585cf9a14021bd55bbeaa6e603b,parent#unmapped,unmapped
arbitrum:0x3647c54c4c2c65bc7a2d63c0da2809b399dbbdc0,parent#airpuff,airpuff
arbitrum:0x36800286f652ddc9bdcffedc4e71fdd207c1d07c,parent#unmapped,unmapped
arbitrum:0x368f6d735f3fc8aa0568d2b7ab275cb828b79709,parent#empyreal,empyreal
arbitrum:0x37cdbe3063002383b2018240bdafe05127d36c3c,parent#unmapped,unmapped
arbitrum:0x381f8482ee0a12202f2a3735370859f5709b12d2,parent#amy-finance,amy-finance
arbitrum:0x394fdec30250a38869bcb425f96080ed6c1b756a,parent#davos-protocol,davos-protocol
arbitrum:0x3a93fcccd2769579efe03d6def2c4468f5f0bd38,parent#unmapped,unmapped
arbitrum:0x3af692a5ab2da34f742686bd4a77b5e609ee9ec6,parent#tribe3,tribe3
arbitrum:0x3b60ff35d3f7f62d636b067dd0dc0dfdad670e4e,parent#unmapped,unmapped
arbitrum:0x3dc57204f2230c8d972653db0205199eb2bd7f38,parent#unmapped,unmapped
arbitrum:0x3e41e099ebb943e0adacf63e5523b7cd9e36c510,parent#unmapped,unmapped
arbitrum:0x3e4ffeb394b371aaaa0998488046ca19d870d9ba,parent#unmapped,unmapped
arbitrum:0x3e57e261f1420f11688783534dd4a462a6b63bbc,parent#unmapped,unmapped
arbitrum:0x3f56e0c36d275367b8c502090edf38289b3dea0d,parent#unmapped,unmapped
arbitrum:0x400ebc22c31bedcdab38a6b27963912df71840ed,parent#unmapped,unmapped
arbitrum:0x4277f8f2c384827b5273592ff7cebd9f2c1ac258,parent#gmx-v1-perps,gmx-v1-perps
arbitrum:0x427a733bd14a949ea771a558f6934bb0004c0c4e,parent#unmapped,unmapped
arbitrum:0x43d92690d302c0e9f2fbd624eb9589f52b5ad115,parent#unmapped,unmapped
arbitrum:0x44b678f32a2f6abb72eefa2df58f12d17c3ed403,parent#unmapped,unmapped
arbitrum:0x4577b1417bdd10bf1bbfc8cf29180f592b0c3190,parent#unmapped,unmapped
arbitrum:0x45acd6af27b2506ad68c0fea9f597d6ee6818722,parent#unmapped,unmapped
