protocol_name,contract_address,issues_detected,timestamp,audit_firm,audit_score,audit_link,audit_date,contract_file,delegatecall,EIP1967,implementation,proxy_contract,upgradeable,contract_file_clean,exploit_date,loss_usd,vector,chain,source,year,is_exploited
arbitrum bridge,arbitrum:0x912ce59144191c1204e64559fe8253a0e49e6548,1,2025-09-27 19:50:19,,,,,arbitrum bridge.sol,False,False,False,False,False,arbitrum bridge,,,,,,,
hyperliquid bridge,0x0d01dc56dcaaca66ad901c959b4011ec,1,2025-09-27 19:50:19,,,,,hyperliquid bridge.sol,False,False,False,False,False,hyperliquid bridge,,,,,,,
justcryptos,tron:tcfll5dx5zjdknwuesxxi1vpwjlvmwzzy9,1,2025-09-27 19:50:20,,,,,justcryptos.sol,False,False,False,False,False,justcryptos,,,,,,,
portal,solana:85vbfqzc9tzkfaptbwjvuw7ybzjy52a6mjtpgjstqamq,1,2025-09-27 19:50:20,,,,,portal.sol,False,False,False,False,False,portal,,,,,,,
jupiter perpetual exchange,solana:jupyiwryjfskupiha7hker8vutaefosybkedznsdvcn,1,2025-09-27 19:50:21,,,,,jupiter perpetual exchange.sol,False,False,False,False,False,jupiter perpetual exchange,,,,,,,
drift trade,solana:driftupjyltosbwon8kombeysx54afavlddwsbksjwg7,1,2025-09-27 19:50:21,,,,,drift trade.sol,False,False,False,False,False,drift trade,,,,,,,
gmx v2 perps,arbitrum:0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,1,2025-09-27 19:50:22,,,,,gmx v2 perps.sol,False,False,False,False,False,gmx v2 perps,,,,,,,
hyperliquid hlp,hyperliquid:0x0d01dc56dcaaca66ad901c959b4011ec,1,2025-09-27 19:50:22,,,,,hyperliquid hlp.sol,False,False,False,False,False,hyperliquid hlp,,,,,,,
dydx v4,dydx:ibc/831f0b1bbb1d08a2b75311892876d71565478c532967545476df4c2d7492e48c,1,2025-09-27 19:50:22,,,,,dydx v4.sol,False,False,False,False,False,dydx v4,,,,,,,
synthetix v3,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,1,2025-09-27 19:50:23,,,,,synthetix v3.sol,False,False,False,False,False,synthetix v3,,,,,,,
derive v2,0xb1d1eae60eea9525032a6dcb4c1ce336a1de71be,1,2025-09-27 19:50:23,,,,,derive v2.sol,False,False,False,False,False,derive v2,,,,,,,
dydx v3,0x92d6c1e31e14520e676a687f0a93788b716beff5,1,2025-09-27 19:50:24,,,,,dydx v3.sol,False,False,False,False,False,dydx v3,,,,,,,
uniswap v3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1,2025-09-27 19:50:24,,,,,uniswap v3.sol,False,False,False,False,False,uniswap v3,,,,,,,
raydium amm,solana:4k3dyjzvzp8emzwuxbbcjevwskkk59s5icnly3qrkx6r,1,2025-09-27 19:50:25,,,,,raydium amm.sol,False,False,False,False,False,raydium amm,,,,,,,
curve dex,0xd533a949740bb3306d119cc777fa900ba034cd52,1,2025-09-27 19:50:26,,,,,curve dex.sol,False,False,False,False,False,curve dex,,,,,,,
uniswap v2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1,2025-09-27 19:50:26,,,,,uniswap v2.sol,False,False,False,False,False,uniswap v2,,,,,,,
pancakeswap amm,bsc:0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,1,2025-09-27 19:50:26,,,,,pancakeswap amm.sol,False,False,False,False,False,pancakeswap amm,,,,,,,
uniswap v4,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1,2025-09-27 19:50:27,,,,,uniswap v4.sol,False,False,False,False,False,uniswap v4,,,,,,,
balancer v2,0xba100000625a3754423978a60c9317c58a424e3d,1,2025-09-27 19:50:27,,,,,balancer v2.sol,False,False,False,False,False,balancer v2,,,,,,,
pancakeswap amm v3,bsc:0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,1,2025-09-27 19:50:28,,,,,pancakeswap amm v3.sol,False,False,False,False,False,pancakeswap amm v3,,,,,,,
reserve protocol,0x320623b8e4ff03373931769a31fc52a4e78b5d70,1,2025-09-27 19:50:28,,,,,reserve protocol.sol,False,False,False,False,False,reserve protocol,,,,,,,
aave v3,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1,2025-09-27 19:50:29,,,,,aave v3.sol,False,False,False,False,False,aave v3,,,,,,,
morpho blue,0x58d97b57bb95320f9a05dc918aef65434969c2b2,1,2025-09-27 19:50:29,,,,,morpho blue.sol,False,False,False,False,False,morpho blue,,,,,,,
sparklend,0xc20059e0317de91738d13af027dfc4a50781b066,1,2025-09-27 19:50:30,,,,,sparklend.sol,False,False,False,False,False,sparklend,,,,,,,
justlend,tron:tcfll5dx5zjdknwuesxxi1vpwjlvmwzzy9,1,2025-09-27 19:50:30,,,,,justlend.sol,False,False,False,False,False,justlend,,,,,,,
kamino lend,solana:kmno3njsbxfcpjtvhzcxlw7rmtwtt4gvfe7suubo9ss,1,2025-09-27 19:50:30,,,,,kamino lend.sol,False,False,False,False,False,kamino lend,,,,,,,
maple,0x643c4e15d7d62ad0abec4a9bd4b001aa3ef52d66,1,2025-09-27 19:50:31,,,,,maple.sol,False,False,False,False,False,maple,nan,0.0,none,ethereum,nan,,0.0
compound v3,0xc00e94cb662c3520282e6f5717214004a7f26888,1,2025-09-27 19:50:31,,,,,compound v3.sol,False,False,False,False,False,compound v3,,,,,,,
venus core pool,bsc:0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,1,2025-09-27 19:50:32,,,,,venus core pool.sol,False,False,False,False,False,venus core pool,,,,,,,
euler v2,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,1,2025-09-27 19:50:32,,,,,euler v2.sol,False,False,False,False,False,euler v2,,,,,,,
m0,0x5983b89fa184f14917013b9c3062afd9434c5b03,1,2025-09-27 19:50:33,,,,,m0.sol,False,False,False,False,False,m0,,,,,,,
fx protocol,0x365accfca291e7d3914637abf1f7635db165bb09,1,2025-09-27 19:50:33,,,,,fx protocol.sol,False,False,False,False,False,fx protocol,2023-06-14,1800000.0,price oracle manipulation,ethereum,slowmist,2023.0,1.0
moneyonchain,rsk:0x9ac7fe28967b30e3a4e6e03286d715b42b453d10,1,2025-09-27 19:50:34,,,,,moneyonchain.sol,False,False,False,False,False,moneyonchain,,,,,,,
djed stablecoin,nan,1,2025-09-27 19:50:34,,,,,djed stablecoin.sol,False,False,False,False,False,djed stablecoin,,,,,,,
flat money v2,0xca1207647ff814039530d7d35df0e1dd2e91fa84,1,2025-09-27 19:50:34,,,,,flat money v2.sol,False,False,False,False,False,flat money v2,,,,,,,
flat money v1,0xca1207647ff814039530d7d35df0e1dd2e91fa84,1,2025-09-27 19:50:35,,,,,flat money v1.sol,False,False,False,False,False,flat money v1,,,,,,,
