protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes
slingshot,code4rena,Code4rena,,2021-02-22T18:32:45Z,https://github.com/code-423n4/2021-02-slingshot-findings,repo=2021-02-slingshot-findings
elasticdao,code4rena,Code4rena,,2021-03-04T15:51:36Z,https://github.com/code-423n4/2021-03-elasticdao-findings,repo=2021-03-elasticdao-findings
marginswap,code4rena,Code4rena,,2021-03-30T16:13:15Z,https://github.com/code-423n4/2021-04-marginswap,repo=2021-04-marginswap
marginswap,code4rena,Code4rena,,2021-04-01T21:15:56Z,https://github.com/code-423n4/2021-04-marginswap-findings,repo=2021-04-marginswap-findings
maple,code4rena,Code4rena,,2021-04-05T15:09:35Z,https://github.com/code-423n4/2021-04-maple,repo=2021-04-maple
maple,code4rena,Code4rena,,2021-04-05T15:10:22Z,https://github.com/code-423n4/2021-04-maple-findings,repo=2021-04-maple-findings
88mph,code4rena,Code4rena,,2021-04-15T23:31:03Z,https://github.com/code-423n4/2021-05-88mph,repo=2021-05-88mph
basedloans,code4rena,Code4rena,,2021-04-18T18:02:24Z,https://github.com/code-423n4/2021-04-basedloans,repo=2021-04-basedloans
basedloans,code4rena,Code4rena,,2021-04-18T18:09:07Z,https://github.com/code-423n4/2021-04-basedloans-findings,repo=2021-04-basedloans-findings
vader,code4rena,Code4rena,,2021-04-20T14:19:40Z,https://github.com/code-423n4/2021-04-vader,repo=2021-04-vader
vader,code4rena,Code4rena,,2021-04-20T14:20:01Z,https://github.com/code-423n4/2021-04-vader-findings,repo=2021-04-vader-findings
slingshot,code4rena,Code4rena,,2021-04-21T08:31:07Z,https://github.com/code-423n4/2021-02-slingshot,repo=2021-02-slingshot
elasticdao,code4rena,Code4rena,,2021-04-21T08:31:58Z,https://github.com/code-423n4/2021-03-elasticdao,repo=2021-03-elasticdao
nftx,code4rena,Code4rena,,2021-04-21T16:44:35Z,https://github.com/code-423n4/2021-05-nftx,repo=2021-05-nftx
nftx,code4rena,Code4rena,,2021-04-21T16:46:05Z,https://github.com/code-423n4/2021-05-nftx-findings,repo=2021-05-nftx-findings
