protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,slug,in_llama,protocol_norm,slug_mapped,slug_final
universal-router,audit_report_firm,OpenZeppelin,,,https://github.com/Uniswap/universal-router/blob/705f7bb9836ebc4f6ad1aad91629c3d0fc4128d4/audit/CLAUDE.md,"repo=Uniswap/universal-router; path=audit/CLAUDE.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,universal router,,
AkropolisSaleContractAudit,audit_report_firm,OpenZeppelin,,,https://github.com/bokkypoobah/AkropolisSaleContractAudit/blob/09d215b9f5dd7c4e27e9afd29a31431d96e55809/audit/openzeppelin-code-review/token/ERC20.md,"repo=bokkypoobah/AkropolisSaleContractAudit; path=audit/openzeppelin-code-review/token/ERC20.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,akropolissalecontractaudit,,
ethernauts,audit_report_firm,OpenZeppelin,,2022-06-30T00:00:00Z,https://github.com/ethernautdao/ethernauts/blob/f507fbf2d7133ff668583861286922b659998e38/audit/maraoz_jan_25_2022.md,"repo=ethernautdao/ethernauts; path=audit/maraoz_jan_25_2022.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,ethernauts,,
IPNFT,audit_report_firm,OpenZeppelin,,,https://github.com/moleculeprotocol/IPNFT/blob/53ccace4727bc97166653e5c5d4355a7d358c00a/audit/IPNFT-security-review-response.md,"repo=moleculeprotocol/IPNFT; path=audit/IPNFT-security-review-response.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,ipnft,,
OpenQ-Contracts,audit_report_firm,OpenZeppelin,,,https://github.com/OpenQDev/OpenQ-Contracts/blob/781d41694f3c96d44a88c4e8ceab1167abcf8d48/audit/README.md,"repo=OpenQDev/OpenQ-Contracts; path=audit/README.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,openq,,
theta-openzeppelin-demo,audit_report_firm,OpenZeppelin,,2017-03-15T00:00:00Z,https://github.com/thetatoken/theta-openzeppelin-demo/blob/64b2a29279db70b16d4cda434b0841f9ff73e9e7/audit/2017-03.md,"repo=thetatoken/theta-openzeppelin-demo; path=audit/2017-03.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,theta openzeppelin demo,,
Helix3,audit_report_firm,OpenZeppelin,,,https://github.com/Nick-Synthesys/Helix3/blob/d308a4211b8610335f23e9f2b10ed60727d99b10/audit/ZeppelinAudit.md,"repo=Nick-Synthesys/Helix3; path=audit/ZeppelinAudit.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,helix3,,
vyral,audit_report_firm,OpenZeppelin,,,https://github.com/vyralnetwork/vyral/blob/ce9fb6568d53d0fc29b6c671be73bd93cd1bdeff/audit/code-review/math/SafeMath.md,"repo=vyralnetwork/vyral; path=audit/code-review/math/SafeMath.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,audit,,
mamo-contracts,audit_report_firm,OpenZeppelin,,,https://github.com/moonwell-fi/mamo-contracts/blob/0042f510ef386d3be0c72f13653755f408b9e003/audit/slither.md,"repo=moonwell-fi/mamo-contracts; path=audit/slither.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,mamo,,
sentinel-chain-network,audit_report_firm,OpenZeppelin,,,https://github.com/SentinelChain/sentinel-chain-network/blob/3e4d411f8d392b7039f3308e703eb647717232a4/audit/audit.md,"repo=SentinelChain/sentinel-chain-network; path=audit/audit.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,sentinel chain network,,
genome-mining-contracts,audit_report_firm,OpenZeppelin,,,https://github.com/altered-state-machine/genome-mining-contracts/blob/bb5466700fb4ad92619a0f9b01e4f4c0ca7ac0d6/audit/architecture.md,"repo=altered-state-machine/genome-mining-contracts; path=audit/architecture.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,genome mining,,
