protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
universal-router,github_strict_search,OpenZeppelin,,,https://github.com/Uniswap/universal-router/blob/705f7bb9836ebc4f6ad1aad91629c3d0fc4128d4/audit/CLAUDE.md,kw=openzeppelin; path=audit; ext=md; repo=universal-router; file=audit/CLAUDE.md,scrape_github_strict_audit_reports.py
akropolissalecontractaudit,github_strict_search,OpenZeppelin,,,https://github.com/bokkypoobah/AkropolisSaleContractAudit/blob/09d215b9f5dd7c4e27e9afd29a31431d96e55809/audit/openzeppelin-code-review/token/ERC20.md,kw=openzeppelin; path=audit; ext=md; repo=AkropolisSaleContractAudit; file=audit/openzeppelin-code-review/token/ERC20.md,scrape_github_strict_audit_reports.py
ethernauts,github_strict_search,OpenZeppelin,,,https://github.com/ethernautdao/ethernauts/blob/f507fbf2d7133ff668583861286922b659998e38/audit/maraoz_jan_25_2022.md,kw=openzeppelin; path=audit; ext=md; repo=ethernauts; file=audit/maraoz_jan_25_2022.md,scrape_github_strict_audit_reports.py
ipnft,github_strict_search,OpenZeppelin,,,https://github.com/moleculeprotocol/IPNFT/blob/53ccace4727bc97166653e5c5d4355a7d358c00a/audit/IPNFT-security-review-response.md,kw=openzeppelin; path=audit; ext=md; repo=IPNFT; file=audit/IPNFT-security-review-response.md,scrape_github_strict_audit_reports.py
openq-contracts,github_strict_search,OpenZeppelin,,,https://github.com/OpenQDev/OpenQ-Contracts/blob/781d41694f3c96d44a88c4e8ceab1167abcf8d48/audit/README.md,kw=openzeppelin; path=audit; ext=md; repo=OpenQ-Contracts; file=audit/README.md,scrape_github_strict_audit_reports.py
theta-openzeppelin-demo,github_strict_search,OpenZeppelin,,,https://github.com/thetatoken/theta-openzeppelin-demo/blob/64b2a29279db70b16d4cda434b0841f9ff73e9e7/audit/2017-03.md,kw=openzeppelin; path=audit; ext=md; repo=theta-openzeppelin-demo; file=audit/2017-03.md,scrape_github_strict_audit_reports.py
helix3,github_strict_search,OpenZeppelin,,,https://github.com/Nick-Synthesys/Helix3/blob/d308a4211b8610335f23e9f2b10ed60727d99b10/audit/ZeppelinAudit.md,kw=openzeppelin; path=audit; ext=md; repo=Helix3; file=audit/ZeppelinAudit.md,scrape_github_strict_audit_reports.py
vyral,github_strict_search,OpenZeppelin,,,https://github.com/vyralnetwork/vyral/blob/ce9fb6568d53d0fc29b6c671be73bd93cd1bdeff/audit/code-review/math/SafeMath.md,kw=openzeppelin; path=audit; ext=md; repo=vyral; file=audit/code-review/math/SafeMath.md,scrape_github_strict_audit_reports.py
mamo-contracts,github_strict_search,OpenZeppelin,,,https://github.com/moonwell-fi/mamo-contracts/blob/0042f510ef386d3be0c72f13653755f408b9e003/audit/slither.md,kw=openzeppelin; path=audit; ext=md; repo=mamo-contracts; file=audit/slither.md,scrape_github_strict_audit_reports.py
sentinel-chain-network,github_strict_search,OpenZeppelin,,,https://github.com/SentinelChain/sentinel-chain-network/blob/3e4d411f8d392b7039f3308e703eb647717232a4/audit/audit.md,kw=openzeppelin; path=audit; ext=md; repo=sentinel-chain-network; file=audit/audit.md,scrape_github_strict_audit_reports.py
genome-mining-contracts,github_strict_search,OpenZeppelin,,,https://github.com/altered-state-machine/genome-mining-contracts/blob/bb5466700fb4ad92619a0f9b01e4f4c0ca7ac0d6/audit/architecture.md,kw=openzeppelin; path=audit; ext=md; repo=genome-mining-contracts; file=audit/architecture.md,scrape_github_strict_audit_reports.py
lendefi-dao,github_strict_search,OpenZeppelin,,,https://github.com/nebula-labs-xyz/lendefi-dao/blob/8becb43bc633f09b6afabe3865c4cf48d42646f6/audit/InvestorVesting.md,kw=openzeppelin; path=audit; ext=md; repo=lendefi-dao; file=audit/InvestorVesting.md,scrape_github_strict_audit_reports.py
r2dc,github_strict_search,OpenZeppelin,,,https://github.com/olivmath/r2dc/blob/91b3127e65674546192085db2602b59f179b9333/audit/Flipper.md,kw=openzeppelin; path=audit; ext=md; repo=r2dc; file=audit/Flipper.md,scrape_github_strict_audit_reports.py
smart-contract-procedure,github_strict_search,OpenZeppelin,,,https://github.com/OCOSToken/smart-contract-procedure/blob/b942f645784d6e240d0fe3802f8bbb8135a4f279/audit/AuditChecklist.md,kw=openzeppelin; path=audit; ext=md; repo=smart-contract-procedure; file=audit/AuditChecklist.md,scrape_github_strict_audit_reports.py
minidao-contracts,github_strict_search,OpenZeppelin,,,https://github.com/moretech-forward/MiniDAO-contracts/blob/4e9c3b28ee2123ccb5e4504f89ed4507190e0021/audit/Audit.md,kw=openzeppelin; path=audit; ext=md; repo=MiniDAO-contracts; file=audit/Audit.md,scrape_github_strict_audit_reports.py
orbssubscriptionsmartcontractaudit,github_strict_search,OpenZeppelin,,,https://github.com/bokkypoobah/OrbsSubscriptionSmartContractAudit/blob/2afdb7faa2d3b58b98872c9987eee748641ad1fc/audit/openzeppelin-code-review/ownership/Ownable.md,kw=openzeppelin; path=audit; ext=md; repo=OrbsSubscriptionSmartContractAudit; file=audit/openzeppelin-code-review/ownership/Ownable.md,scrape_github_strict_audit_reports.py
layerzero-v2-bridge-builder,github_strict_search,OpenZeppelin,,,https://github.com/BuildOnBeam/layerzero-v2-bridge-builder/blob/4c06d8e2da71c19c44e1d27b5b57db9250d73065/audit/FOR_AUDITORS.md,kw=openzeppelin; path=audit; ext=md; repo=layerzero-v2-bridge-builder; file=audit/FOR_AUDITORS.md,scrape_github_strict_audit_reports.py
smart-ctr-security,github_strict_search,OpenZeppelin,,,https://github.com/andreixdbolos/smart-ctr-security/blob/e4e740f76950552109e4ffda49af4542de62b3df/audit/slither-report.md,kw=openzeppelin; path=audit; ext=md; repo=smart-ctr-security; file=audit/slither-report.md,scrape_github_strict_audit_reports.py
reg-ccip-core,github_strict_search,OpenZeppelin,,,https://github.com/real-token/reg-ccip-core/blob/10cd04c76209fd7a123d16c5f072f7027e78d713/audit/docs/audit-list.md,kw=openzeppelin; path=audit; ext=md; repo=reg-ccip-core; file=audit/docs/audit-list.md,scrape_github_strict_audit_reports.py
coinscious-building,github_strict_search,OpenZeppelin,,,https://github.com/wiseguysmith/COINSCIOUS-BUILDING/blob/68f04f6aab3939fc8e8dbea75c932a567b42e562/audit/how-to-reproduce.md,kw=openzeppelin; path=audit; ext=md; repo=COINSCIOUS-BUILDING; file=audit/how-to-reproduce.md,scrape_github_strict_audit_reports.py
