protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,org,repo_name,protocol_guess,slug,in_llama,protocol_norm,slug_mapped,slug_final
slingshot,code4rena,Code4rena,,2021-02-22T18:32:45Z,https://github.com/code-423n4/2021-02-slingshot-findings,repo=2021-02-slingshot-findings,audit_events_code4rena.csv,,,,,1,slingshot,slingshot,slingshot
elasticdao,code4rena,Code4rena,,2021-03-04T15:51:36Z,https://github.com/code-423n4/2021-03-elasticdao-findings,repo=2021-03-elasticdao-findings,audit_events_code4rena.csv,,,,,0,elasticdao,,
marginswap,code4rena,Code4rena,,2021-03-30T16:13:15Z,https://github.com/code-423n4/2021-04-marginswap,repo=2021-04-marginswap,audit_events_code4rena.csv,,,,,1,marginswap,marginswap,marginswap
marginswap,code4rena,Code4rena,,2021-04-01T21:15:56Z,https://github.com/code-423n4/2021-04-marginswap-findings,repo=2021-04-marginswap-findings,audit_events_code4rena.csv,,,,,1,marginswap,marginswap,marginswap
maple,code4rena,Code4rena,,2021-04-05T15:09:35Z,https://github.com/code-423n4/2021-04-maple,repo=2021-04-maple,audit_events_code4rena.csv,,,,,1,maple,maple,maple
maple,code4rena,Code4rena,,2021-04-05T15:10:22Z,https://github.com/code-423n4/2021-04-maple-findings,repo=2021-04-maple-findings,audit_events_code4rena.csv,,,,,1,maple,maple,maple
88mph,code4rena,Code4rena,,2021-04-15T23:31:03Z,https://github.com/code-423n4/2021-05-88mph,repo=2021-05-88mph,audit_events_code4rena.csv,,,,,1,88mph,88mph,88mph
basedloans,code4rena,Code4rena,,2021-04-18T18:02:24Z,https://github.com/code-423n4/2021-04-basedloans,repo=2021-04-basedloans,audit_events_code4rena.csv,,,,,0,basedloans,,
basedloans,code4rena,Code4rena,,2021-04-18T18:09:07Z,https://github.com/code-423n4/2021-04-basedloans-findings,repo=2021-04-basedloans-findings,audit_events_code4rena.csv,,,,,0,basedloans,,
vader,code4rena,Code4rena,,2021-04-20T14:19:40Z,https://github.com/code-423n4/2021-04-vader,repo=2021-04-vader,audit_events_code4rena.csv,,,,,1,vader,vader-ai,vader-ai
