protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
sentiment,sherlock,Sherlock,,2022-08-15T00:00:00Z,https://github.com/sherlock-audit/2022-08-sentiment,repo=2022-08-sentiment,audit_events_sherlock.csv
sentiment,sherlock,Sherlock,,2022-08-15T00:00:00Z,https://github.com/sherlock-audit/2022-08-sentiment-judging,repo=2022-08-sentiment-judging,audit_events_sherlock.csv
notional,sherlock,Sherlock,,2022-09-15T00:00:00Z,https://github.com/sherlock-audit/2022-09-notional,repo=2022-09-notional,audit_events_sherlock.csv
sherlock,sherlock,Sherlock,,2022-09-15T00:00:00Z,https://github.com/sherlock-audit/2022-09-sherlock,repo=2022-09-sherlock,audit_events_sherlock.csv
notional,sherlock,Sherlock,,2022-09-15T00:00:00Z,https://github.com/sherlock-audit/2022-09-notional-judging,repo=2022-09-notional-judging,audit_events_sherlock.csv
harpie,sherlock,Sherlock,,2022-09-15T00:00:00Z,https://github.com/sherlock-audit/2022-09-harpie-judging,repo=2022-09-harpie-judging,audit_events_sherlock.csv
knox,sherlock,Sherlock,,2022-09-15T00:00:00Z,https://github.com/sherlock-audit/2022-09-knox,repo=2022-09-knox,audit_events_sherlock.csv
knox,sherlock,Sherlock,,2022-09-15T00:00:00Z,https://github.com/sherlock-audit/2022-09-knox-judging,repo=2022-09-knox-judging,audit_events_sherlock.csv
sherlock,sherlock,Sherlock,,2022-09-15T00:00:00Z,https://github.com/sherlock-audit/2022-09-sherlock-judging,repo=2022-09-sherlock-judging,audit_events_sherlock.csv
gmx,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-gmx,repo=2023-02-gmx,audit_events_sherlock.csv
gmx,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-gmx-judging,repo=2023-02-gmx-judging,audit_events_sherlock.csv
mycelium,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-mycelium,repo=2022-10-mycelium,audit_events_sherlock.csv
mycelium,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-mycelium-judging,repo=2022-10-mycelium-judging,audit_events_sherlock.csv
astaria,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-astaria,repo=2022-10-astaria,audit_events_sherlock.csv
merit-circle,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-merit-circle,repo=2022-10-merit-circle,audit_events_sherlock.csv
float-capital,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-float-capital,repo=2022-11-float-capital,audit_events_sherlock.csv
union-finance,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-union-finance,repo=2022-10-union-finance,audit_events_sherlock.csv
mover,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-mover,repo=2022-10-mover,audit_events_sherlock.csv
ajna,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-ajna,repo=2023-01-ajna,audit_events_sherlock.csv
mover,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-mover-judging,repo=2022-10-mover-judging,audit_events_sherlock.csv
illuminate,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-illuminate,repo=2022-10-illuminate,audit_events_sherlock.csv
merit-circle,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-merit-circle-judging,repo=2022-10-merit-circle-judging,audit_events_sherlock.csv
illuminate,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-illuminate-judging,repo=2022-10-illuminate-judging,audit_events_sherlock.csv
derby,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-derby,repo=2023-01-derby,audit_events_sherlock.csv
derby,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-derby-judging,repo=2023-01-derby-judging,audit_events_sherlock.csv
nftport,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-nftport,repo=2022-10-nftport,audit_events_sherlock.csv
nftport,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-nftport-judging,repo=2022-10-nftport-judging,audit_events_sherlock.csv
float-capital,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-float-capital-judging,repo=2022-11-float-capital-judging,audit_events_sherlock.csv
rage-trade,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-rage-trade,repo=2022-10-rage-trade,audit_events_sherlock.csv
rage-trade,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-rage-trade-judging,repo=2022-10-rage-trade-judging,audit_events_sherlock.csv
sense,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-sense,repo=2022-11-sense,audit_events_sherlock.csv
sentiment,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-sentiment,repo=2022-11-sentiment,audit_events_sherlock.csv
