protocol_name_raw,symbol,category,chains,tvl_max,audit_firms,audit_score_max,audit_score_mean,last_audit_date,audit_sources,audit_firm_count,has_audit,audit_score,any_top_firm
0.exchange,ZERO,Dexs,['Multi-Chain'],118169.4716704333,[],,,,['api'],0,0,,0
01,-,Derivatives,['Solana'],356153.8573363595,[],,,,['api'],0,0,,0
0vix,-,Lending,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0
0x,ZRX,DEX Aggregator,['nan'],0.0,[],,,,['api'],0,0,,0
0x Aggregator,ZRX,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
0x NODES,BIOS,Yield Aggregator,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0
0x0.ai,0X0,Privacy,['Ethereum'],434507.1883,[],,,,['api'],0,0,,0
0xAcid,ACID,Liquid Staking,['Arbitrum'],0.0,[],,,,['api'],0,0,,0
0xDAO,OXD,Yield,['Fantom'],68103.08851391065,[],,,,['api'],0,0,,0
0xLend,-,Lending,['Multi-Chain'],1551.56914047453,[],,,,['api'],0,0,,0
0xScans,SCAN,Developer Tools,['Ethereum'],0.0,[],,,,['api'],0,0,,0
10KDex,-,Derivatives,['Scroll'],120245.18605318922,[],,,,['api'],0,0,,0
10KSwap,-,Dexs,['Starknet'],991240.669298504,[],,,,['api'],0,0,,0
1155Tech,-,NFT Marketplace,['Canto'],0.0,[],,,,['api'],0,0,,0
1776.MEME,-,Launchpad,['Ethereum'],1128.0531594174704,[],,,,['api'],0,0,,0
1BCH,1BCH,Dexs,['smartBCH'],263.34439855274945,[],,,,['api'],0,0,,0
1Beam,1BEAM,Dexs,['Moonbeam'],3336.6875752016585,[],,,,['api'],0,0,,0
1DEX,-,Dexs,['EOS'],950269.1159512512,[],,,,['api'],0,0,,0
1INTRO,INTRO,Dexs,['Solana'],135383.34717095768,[],,,,['api'],0,0,,0
1Pulse,-,Dexs,['Pulse'],18.23254045402506,[],,,,['api'],0,0,,0
1Swap,1SWAP,Dexs,['Moonriver'],9683.952105254077,[],,,,['api'],0,0,,0
1delta,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
1inch Network,1INCH,DEX Aggregator,['Multi-Chain'],5571632.477882524,[],,,,['api'],0,0,,0
21.co,-,Bridge,['Multi-Chain'],1227550.5863786722,[],,,,['api'],0,0,,0
2Doge Finance,2DOGE,Algo-Stables,['Fantom'],0.0,[],,,,['api'],0,0,,0
2Pi Network,-,Yield,['Multi-Chain'],2404.0927587757005,[],,,,['api'],0,0,,0
2THICK,ELITE,Dexs,['Multi-Chain'],168004.25427512458,[],,,,['api'],0,0,,0
2omb Finance,2OMB,Algo-Stables,['Fantom'],0.0,[],,,,['api'],0,0,,0
3A DAO,A3A,CDP,['Multi-Chain'],12424.398631187772,[],,,,['api'],0,0,,0
3F Mutual,-,Insurance,['Ethereum'],7923148.8825366,[],,,,['api'],0,0,,0
