slug,name,symbol,category,tvl,chains,has_audit_strict,has_contest,has_security_review_broad,num_audits_strict,num_contests,audit_event_count_strict,contest_event_count,security_review_event_count_total,last_audit_date_strict,last_contest_date,last_security_review_date,audit_recency_years_strict,audit_firm_count,any_top_firm,audit_firm_tier,audit_score,strict_sources_seen,contest_sources_seen,all_sources_seen,audit_firms_strict
3xcalibur,3xcalibur,XCAL,Dexs,3156.807903920414,Arbitrum,0,1,1,0,4,0,4,4,,2022-10-11 12:40:34+00:00,2022-10-11 12:40:34+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
88mph,88mph,MPH,Lending,442442.0809238396,Ethereum;Fantom;Avalanche;Polygon,0,1,1,0,8,0,8,8,,2021-05-12 20:57:29+00:00,2021-05-12 20:57:29+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
aave-arc,Aave Arc,AAVE,Lending,57253.38956171104,Ethereum,1,0,1,2,0,2,0,2,,,,,2,0,other,92.0,[full],[],[full],"[certik,defisafety]"
aave-v3,Aave V3,AAVE,Lending,34189753691.24607,Ethereum;Plasma;Arbitrum;Base;Avalanche;Binance;Polygon;Linea;Optimism;xDai;Sonic;Celo;Scroll;zkSync Era;Soneium;Metis;Fantom;Harmony,0,1,1,0,8,0,8,8,,2025-02-28 20:58:51+00:00,2025-02-28 20:58:51+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
acala,Acala,ACA,Canonical Bridge,0.0,,0,1,1,0,8,0,8,8,,2024-01-12 14:49:37+00:00,2024-01-12 14:49:37+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
aegis,Aegis,-,Basis Trading,42711703.58674771,Ethereum;Binance,0,1,1,0,8,0,8,8,,2025-06-20 10:58:22+00:00,2025-06-20 10:58:22+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
ajna-v1,Ajna V1,AJNA,Lending,597926.3142073108,Ethereum,0,1,1,0,7,0,7,7,,,,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
ajna-v2,Ajna V2,AJNA,Lending,782284.276724617,Ethereum;Hemi;Base;Arbitrum;Rari;Optimism;Polygon;Avalanche;Filecoin;Binance;Blast;Mode;Linea,0,1,1,0,25,0,25,25,,2023-12-13 16:21:37+00:00,2023-12-13 16:21:37+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
alchemix,Alchemix,ALCX,Synthetics,42956021.73379398,Ethereum;Optimism;Arbitrum;Fantom,0,1,1,0,16,0,16,16,,2024-06-05 15:09:25+00:00,2024-06-05 15:09:25+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
allbridge-core,Allbridge Core,-,Bridge,23607809.01799642,Ethereum;Tron;Binance;Solana;Arbitrum;Base;Stellar;Polygon;Avalanche;Sui;Celo;Optimism;Unichain;Sonic,0,1,1,0,8,0,8,8,,2025-08-26 11:03:41+00:00,2025-08-26 11:03:41+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
allora-network,Allora Network,ALLO,Decentralized AI,0.0,Allora,0,1,1,0,8,0,8,8,,2024-12-03 19:56:31+00:00,2024-12-03 19:56:31+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
aloe,Aloe,-,Lending,114363.84729122948,Arbitrum;Base;Optimism;Linea;Ethereum,0,1,1,0,8,0,8,8,,2023-11-25 17:00:56+00:00,2023-11-25 17:00:56+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
alpha-arcade,Alpha Arcade,ALPHA,Prediction Market,218095.7443094245,Algorand,0,1,1,0,8,0,8,8,,2023-07-12 11:31:16+00:00,2023-07-12 11:31:16+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
