protocol_name_raw,symbol,category,chains,tvl_max,audit_firms,audit_score_max,audit_score_mean,last_audit_date,audit_sources,audit_firm_count,has_audit,audit_score,any_top_firm,proto_norm,slug
1inch Network,1INCH,DEX Aggregator,['Multi-Chain'],5571632.477882524,[],,,,['api'],0,0,,0,1inch network,
Aztec,-,Privacy,['Ethereum'],10177484.208477575,[],,,,['api'],0,0,,0,aztec,
Balancer,,,[],,['DeFiSafety'],83.0,83.0,2024-01-10 00:00:00+00:00,['full'],1,1,83.0,0,balancer,
BitSwap BB V2,-,Dexs,['BounceBit'],271355.0091151387,[],,,,['api'],0,0,,0,bitswap bb v2,
BitSwap BB V3,-,Dexs,['BounceBit'],1914101.8909901192,[],,,,['api'],0,0,,0,bitswap bb v3,
Bitlayer Bridge,-,Bridge,['Multi-Chain'],232782227.024903,[],,,,['api'],0,0,,0,bitlayer bridge,
Cetus AMM,CETUS,Dexs,['Multi-Chain'],81274562.38006258,[],,,,['api'],0,0,,0,cetus amm,
Coinbase Wallet,-,Wallets,['nan'],,[],,,,['api'],0,0,,0,coinbase wallet,
Compound,,,[],,['DeFiSafety'],85.0,85.0,2023-12-05 00:00:00+00:00,['full'],1,1,85.0,0,compound,
DAOaaS,-,DAO Service Provider,['ENI'],19912836.319966964,[],,,,['api'],0,0,,0,daoaas,
DipCoin AMM,-,Dexs,['Sui'],1437188.7600546351,[],,,,['api'],0,0,,0,dipcoin amm,
DyorSwap,DYOR,Dexs,['Multi-Chain'],5951812.577495623,[],,,,['api'],0,0,,0,dyorswap,
Ease.org,EASE,Insurance,['Ethereum'],11271624.566214498,[],,,,['api'],0,0,,0,ease.org,
Edge Capital,-,Risk Curators,['TAC'],39588721.38983725,[],,,,['api'],0,0,,0,edge capital,
EigenLayer,EIGEN,Restaking,['Ethereum'],17310975342.51192,[],,,,['api'],0,0,,0,eigenlayer,
Farcaster,-,SoFi,['nan'],,[],,,,['api'],0,0,,0,farcaster,
Flow Lending,FLOW,Lending,['Cardano'],10624214.921277208,[],,,,['api'],0,0,,0,flow lending,
Fufuture,-,Derivatives,['Multi-Chain'],21123.91513382083,[],,,,['api'],0,0,,0,fufuture,
GRVT,-,Derivatives,['Ethereum'],15053880.267391,[],,,,['api'],0,0,,0,grvt,
GammaSwap,GS,Options,['Multi-Chain'],8880198.133343415,[],,,,['api'],0,0,,0,gammaswap,
Garden Bridge Aggregator,SEED,Bridge Aggregator,['nan'],,[],,,,['api'],0,0,,0,garden bridge aggregator,
Hydrex V4,HYDX,Dexs,['Base'],96154.24623075302,[],,,,['api'],0,0,,0,hydrex v4,
Hyperpie,-,Liquid Staking,['Hyperliquid L1'],9522419.135279318,[],,,,['api'],0,0,,0,hyperpie,
Hyperpie DEX,-,Dexs,['Hyperliquid L1'],413183.8855234506,[],,,,['api'],0,0,,0,hyperpie dex,
Hyperpie Launchpad,-,Launchpad,['Hyperliquid L1'],11042.68534264701,[],,,,['api'],0,0,,0,hyperpie launchpad,
Idle Mining,-,Mining Pools,['nan'],,[],,,,['api'],0,0,,0,idle mining,
Kana Labs Aggregator,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,kana labs aggregator,
Kana Labs Perps,-,Derivatives,['nan'],,[],,,,['api'],0,0,,0,kana labs perps,
Karak,-,Restaking,['Multi-Chain'],217448872.51902848,[],,,,['api'],0,0,,0,karak,
Kinetiq,-,Liquid Staking,['Hyperliquid L1'],1580684687.2767718,[],,,,['api'],0,0,,0,kinetiq,
Libre Capital,-,RWA,['Multi-Chain'],84616474.93422087,[],,,,['api'],0,0,,0,libre capital,
Lombard,-,Restaked BTC,['Multi-Chain'],1439801633.043905,[],,,,['api'],0,0,,0,lombard,
Lorenzo,-,Restaked BTC,['Bitcoin'],36073986.142311186,[],,,,['api'],0,0,,0,lorenzo,
Mantle Restaking,-,Liquid Restaking,['Ethereum'],577195424.3943719,[],,,,['api'],0,0,,0,mantle restaking,
MetaMask,-,Wallets,['nan'],0.0,[],,,,['api'],0,0,,0,metamask,
MilkyWay Protocol,MILK,Liquid Staking,['Multi-Chain'],6174846.965677914,[],,,,['api'],0,0,,0,milkyway protocol,
Morpho Aave,MORPHO,Lending,['Ethereum'],413224.9318818023,[],,,,['api'],0,0,,0,morpho aave,
Morpho Blue,MORPHO,Lending,['Multi-Chain'],6965035582.777803,[],,,,['api'],0,0,,0,morpho blue,
Morpho Compound,MORPHO,Lending,['Ethereum'],69019.0489037284,[],,,,['api'],0,0,,0,morpho compound,
Ouchi Finance,OUCHI,Dexs,['Ethereum'],68760036.06381774,[],,,,['api'],0,0,,0,ouchi finance,
Perena,-,Dexs,['Solana'],6850038.123972844,[],,,,['api'],0,0,,0,perena,
PotatoSwap,-,Dexs,['X Layer'],14865193.065736262,[],,,,['api'],0,0,,0,potatoswap,
Rainbow,-,Wallets,['nan'],,[],,,,['api'],0,0,,0,rainbow,
Reya DEX,-,Derivatives,['Reya Network'],30798408.700683765,[],,,,['api'],0,0,,0,reya dex,
ShibaSwap,BONE,Dexs,['Multi-Chain'],12464063.612768052,[],,,,['api'],0,0,,0,shibaswap,
Shroomy Protocol,SHROOMY,Lending,['Ink'],36915.8161625753,[],,,,['api'],0,0,,0,shroomy protocol,
Size Credit,-,Lending,['Multi-Chain'],1166729.1488907237,[],,,,['api'],0,0,,0,size credit,
Treble,TREB,Dexs,['Base'],946293.1647610812,[],,,,['api'],0,0,,0,treble,
UdonFi,-,Lending,['Chromia'],37013.82687543392,[],,,,['api'],0,0,,0,udonfi,
Uniswap,,,[],,['DeFiSafety'],92.0,92.0,2024-03-10 00:00:00+00:00,['full'],1,1,92.0,0,uniswap,
Valantis,-,Dexs,['Hyperliquid L1'],25433871.50448742,[],,,,['api'],0,0,,0,valantis,
Volo,NAVX,Liquid Staking,['Sui'],78568069.59896399,[],,,,['api'],0,0,,0,volo,
XTrade Protocol,-,Trading App,['nan'],,[],,,,['api'],0,0,,0,xtrade protocol,
balancer,,,[],,['CertiK'],87.0,87.0,2022-12-12 00:00:00+00:00,['full'],1,1,87.0,1,balancer,
compound,,,[],,['CertiK'],91.0,91.0,2023-04-09 00:00:00+00:00,['full'],1,1,91.0,1,compound,
eigenlayer,,,[],,['CertiK'],,,,['certik'],1,1,,1,eigenlayer,
kinetiq,,,[],,['CertiK'],,,,['certik'],1,1,,1,kinetiq,
lombard,,,[],,['CertiK'],,,,['certik'],1,1,,1,lombard,
pancakeswap,,,[],,['CertiK'],88.0,88.0,2022-08-22 00:00:00+00:00,['full'],1,1,88.0,1,pancakeswap,
stakedhype,-,Liquid Staking,['Hyperliquid L1'],91890141.61035211,[],,,,['api'],0,0,,0,stakedhype,
uniswap,,,[],,['CertiK'],90.0,90.0,2023-02-18 00:00:00+00:00,['full'],1,1,90.0,1,uniswap,
