slug,name,symbol_llama,category_llama,tvl,chains_llama
0.exchange,0.exchange,ZERO,Dexs,51340.3875969544,Avalanche;Binance;Polygon
01,01,-,Derivatives,243198.13570394937,Solana
0vix,0vix,-,Lending,0.0,Polygon;Polygon zkEVM
0x,0x,ZRX,DEX Aggregator,0.0,
0x-aggregator,0x Aggregator,ZRX,DEX Aggregator,,
0x-nodes,0x NODES,BIOS,Yield Aggregator,0.0,Ethereum;Binance;Polygon;Fantom;Metis;Avalanche
0x0.ai,0x0.ai,0X0,Privacy,325784.43409469386,Ethereum
0xacid,0xAcid,ACID,Liquid Staking,0.0,Arbitrum
0xdao,0xDAO,OXD,Yield,42578.56267519203,Fantom
0xlend,0xLend,-,Lending,1164.470821065793,Blast;zkSync Era;Kucoin
0xscans,0xScans,SCAN,Developer Tools,0.0,Ethereum
10kdex,10KDex,-,Derivatives,102107.64597012122,Scroll
10kswap,10KSwap,-,Dexs,853902.9951870741,Starknet
1155tech,1155Tech,-,NFT Marketplace,0.0,Canto
1776.meme,1776.MEME,-,Launchpad,832.7997445197562,Ethereum
1bch,1BCH,1BCH,Dexs,19143.186693348576,smartBCH
1beam,1Beam,1BEAM,Dexs,3303.7574681172773,Moonbeam
1delta,1delta,-,DEX Aggregator,,
1dex,1DEX,-,Dexs,308591.09191531216,EOS
1intro,1INTRO,INTRO,Dexs,102254.74402892053,Solana
1pulse,1Pulse,-,Dexs,7.126674169151049,Pulse
1swap,1Swap,1SWAP,Dexs,974.7834496538154,Moonriver
21.co,21.co,-,Bridge,470993.8919886968,Bitcoin;Ripple;Doge;Binance;Cardano;Litecoin;Polkadot;Solana
2doge-finance,2Doge Finance,2DOGE,Algo-Stables,0.0,Fantom
2omb-finance,2omb Finance,2OMB,Algo-Stables,0.0,Fantom
2pi-network,2Pi Network,-,Yield,2390.645429893856,Optimism;Polygon;Binance;Avalanche
2thick,2THICK,ELITE,Dexs,81080.77600068176,Sonic;Base;Fantom
3a-dao,3A DAO,A3A,CDP,9379.554551288717,Linea;Polygon
3f-mutual,3F Mutual,-,Insurance,5991194.047760825,Ethereum
3jane-lending,3jane Lending,-,Lending,42433435.454437986,Ethereum
3jane-options,3jane Options,-,Options Vault,176666.4845746045,Ethereum
3route,3route,-,DEX Aggregator,,
3xcalibur,3xcalibur,XCAL,Dexs,3156.807903920414,Arbitrum
40-acres,40 Acres,-,Lending,24009114.879205253,Base;Avalanche;Optimism
4swap,4Swap,-,Dexs,457575.9648925931,Mixin
5ire-dapp-staking,5ire Dapp Staking,5IRE,Yield,0.0,Ethereum
