slug,name,symbol,category,tvl,chains
binance-cex,Binance CEX,-,CEX,169934712135.4547,Ethereum;Bitcoin;Binance;Ripple;Doge;Solana;Tron;Base;Arbitrum;Avalanche;Litecoin;Aptos;TON;Hedera;Near;Polygon;Optimism;Stellar;Plasma;Chiliz;Sonic;Sui;Algorand;Op_Bnb;Celo;zkSync Era;Ronin;Manta;Starknet;Scroll;Polkadot;Fantom
aave-v3,Aave V3,AAVE,Lending,34189753691.24607,Ethereum;Plasma;Arbitrum;Base;Avalanche;Binance;Polygon;Linea;Optimism;xDai;Sonic;Celo;Scroll;zkSync Era;Soneium;Metis;Fantom;Harmony
lido,Lido,LDO,Liquid Staking,27619563017.007298,Ethereum;Solana;Moonbeam;Moonriver;Terra
okx,OKX,-,CEX,23099691561.591255,Ethereum;Bitcoin;Solana;Doge;Tron;Litecoin;Ripple;Arbitrum;Aptos;Linea;Optimism;TON;Base;zkSync Era;Scroll;Starknet;Avalanche;Polygon;Polkadot
bitfinex,Bitfinex,-,CEX,20658212811.287304,Bitcoin;Ethereum;Tron;Solana;Avalanche;Tezos;Litecoin;Near;Polygon;Cosmos;EOS;Algorand;Aptos;Elrond;Cardano;EthereumClassic;Fantom;Zilliqa;Polkadot;Doge
bybit,Bybit,-,CEX,18846447604.394337,Ethereum;Bitcoin;Tron;Solana;Mantle;Ripple;Binance;Doge;Avalanche;Aptos;Litecoin;Arbitrum;Optimism;Polygon;TON;Base;Linea;Klaytn;zkSync Era;Cardano;Cosmos;Sonic;dYdX;Kava;Arbitrum Nova;EOS;Celo;Manta;Starknet;Scroll;Taiko;Fantom;Hyperliquid L1;Plasma;Polkadot
robinhood,Robinhood,-,CEX,16794939403.069057,Bitcoin;Ethereum;Avalanche;Polygon
eigencloud,EigenCloud,EIGEN,Restaking,13350721478.141653,Ethereum
wbtc,WBTC,-,Bridge,11121843370.502747,Bitcoin
binance-staked-eth,Binance staked ETH,-,Liquid Staking,11007975170.194595,Ethereum;Binance
ether.fi-stake,ether.fi Stake,ETHFI,Liquid Restaking,8527881117.608039,Ethereum;Arbitrum;Base
gemini,Gemini,-,CEX,7411991158.489161,Bitcoin;Ethereum
