chain,contract_address,mythril_title,severity,mythril_code,row_len,line_no
ethereum,0x8c81121b15197fa0eeaee1dc75533419dcfd3151,Delegatecall to user-supplied address,High,,4,2
ethereum,0x8c81121b15197fa0eeaee1dc75533419dcfd3151,Delegatecall to user-supplied address,High,,4,3
ethereum,0x66be1bc6c6af47900bbd4f3711801be6c2c6cb32,Unprotected Selfdestruct,High,106,5,4
ethereum,0x83d1b4277454edacf54a14fc586326386648a959,requirement violation,Medium,123,5,5
ethereum,0xaa137ec3474ab407f3be37b16576227dfe75eb8d,requirement violation,Medium,123,5,6
ethereum,0xaa137ec3474ab407f3be37b16576227dfe75eb8d,requirement violation,Medium,123,5,7
arbitrum,0x907e5d334f27a769ef779358089fe5fdaa6cf2bb,Dependence on predictable environment variable,Low,120,5,8
arbitrum,0x907e5d334f27a769ef779358089fe5fdaa6cf2bb,Dependence on predictable environment variable,Low,116,5,9
ethereum,0x49690541e3f6e933a9aa3cffee6010a7bb5b72d7,Integer Arithmetic Bugs,High,101,5,10
ethereum,0x49690541e3f6e933a9aa3cffee6010a7bb5b72d7,Exception State,Medium,110,5,11
avalanche,0x1f4292cf1c0fda5ef1c3e9d1e59c13bd1808dd10,Dependence on predictable environment variable,Low,116,5,12
avalanche,0x1f4292cf1c0fda5ef1c3e9d1e59c13bd1808dd10,Dependence on predictable environment variable,Low,116,5,13
avalanche,0x1f4292cf1c0fda5ef1c3e9d1e59c13bd1808dd10,Dependence on predictable environment variable,Low,116,5,14
avalanche,0x89a8633bcad3af0951acc5137811ea21a17c37dc,Integer Arithmetic Bugs,High,101,5,15
avalanche,0x89a8633bcad3af0951acc5137811ea21a17c37dc,Integer Arithmetic Bugs,High,101,5,16
avalanche,0x89a8633bcad3af0951acc5137811ea21a17c37dc,Integer Arithmetic Bugs,High,101,5,17
ethereum,0x7a56e1c57c7475ccf742a1832b028f0456652f97,Delegatecall to user-supplied address,High,112,5,18
ethereum,0x7a56e1c57c7475ccf742a1832b028f0456652f97,Multiple Calls in a Single Transaction,Low,113,5,19
ethereum,0xd9d920aa40f578ab794426f5c90f6c731d159def,Delegatecall to user-supplied address,High,112,5,20
ethereum,0xd9d920aa40f578ab794426f5c90f6c731d159def,Multiple Calls in a Single Transaction,Low,113,5,21
base,0x28c9c71c776a1203000b56c0cca48bef1cd51c53,External Call To User-Supplied Address,Low,107,5,22
base,0x28c9c71c776a1203000b56c0cca48bef1cd51c53,External Call To User-Supplied Address,Low,107,5,23
base,0x28c9c71c776a1203000b56c0cca48bef1cd51c53,External Call To User-Supplied Address,Low,107,5,24
base,0x54016a4848a38f257b6e96331f7404073fd9c32c,External Call To User-Supplied Address,Low,107,5,25
base,0x54016a4848a38f257b6e96331f7404073fd9c32c,External Call To User-Supplied Address,Low,107,5,26
base,0x54016a4848a38f257b6e96331f7404073fd9c32c,External Call To User-Supplied Address,Low,107,5,27
base,0xed8db60acc29e14bc867a497d94ca6e3ceb5ec04,External Call To User-Supplied Address,Low,107,5,28
base,0xed8db60acc29e14bc867a497d94ca6e3ceb5ec04,External Call To User-Supplied Address,Low,107,5,29
base,0xed8db60acc29e14bc867a497d94ca6e3ceb5ec04,External Call To User-Supplied Address,Low,107,5,30
scroll,0x6767f2f2d8c0a63a7a1b3ad2bb890fdc125ccab7,Integer Arithmetic Bugs,High,101,5,31
scroll,0x6767f2f2d8c0a63a7a1b3ad2bb890fdc125ccab7,Integer Arithmetic Bugs,High,101,5,32
scroll,0x6767f2f2d8c0a63a7a1b3ad2bb890fdc125ccab7,Integer Arithmetic Bugs,High,101,5,33
ethereum,0x4082c9647c098a6493fb499eae63b5ce3259c574,Write to an arbitrary storage location,High,124,5,34
arbitrum,0x3647c54c4c2c65bc7a2d63c0da2809b399dbbdc0,Delegatecall to user-supplied address,High,112,5,35
arbitrum,0x3647c54c4c2c65bc7a2d63c0da2809b399dbbdc0,Multiple Calls in a Single Transaction,Low,113,5,36
ethereum,0x397c315d64d74d82a731d656f9c4d586d200f90a,Delegatecall to user-supplied address,High,112,5,37
ethereum,0x397c315d64d74d82a731d656f9c4d586d200f90a,Delegatecall to user-supplied address,High,112,5,38
ethereum,0x4822d9172e5b76b9db37b75f5552f9988f98a888,Delegatecall to user-supplied address,High,112,5,39
ethereum,0x4822d9172e5b76b9db37b75f5552f9988f98a888,Delegatecall to user-supplied address,High,112,5,40
ethereum,0x639f2aece398aa76b07e59ef6abe2cfe32bacb68,Delegatecall to user-supplied address,High,112,5,41
ethereum,0x639f2aece398aa76b07e59ef6abe2cfe32bacb68,Delegatecall to user-supplied address,High,112,5,42
ethereum,0xe95a203b1a91a908f9b9ce46459d101078c2c3cb,Delegatecall to user-supplied address,High,112,5,43
