slug,event_date_raw,event_type,source,firm_or_platform,url,event_date_dt,event_date_parseable
3xcalibur,2022-10-11 12:40:34+00:00,contest,protocol_security_review_master,contest_platform,,2022-10-11 12:40:34+00:00,1
88mph,2021-05-12 20:57:29+00:00,contest,protocol_security_review_master,contest_platform,,2021-05-12 20:57:29+00:00,1
aave-v3,2025-02-28 20:58:51+00:00,contest,protocol_security_review_master,contest_platform,,2025-02-28 20:58:51+00:00,1
acala,2024-01-12 14:49:37+00:00,contest,protocol_security_review_master,contest_platform,,2024-01-12 14:49:37+00:00,1
aegis,2025-06-20 10:58:22+00:00,contest,protocol_security_review_master,contest_platform,,2025-06-20 10:58:22+00:00,1
ajna-v2,2023-12-13 16:21:37+00:00,contest,protocol_security_review_master,contest_platform,,2023-12-13 16:21:37+00:00,1
alchemix,2024-06-05 15:09:25+00:00,contest,protocol_security_review_master,contest_platform,,2024-06-05 15:09:25+00:00,1
allbridge-core,2025-08-26 11:03:41+00:00,contest,protocol_security_review_master,contest_platform,,2025-08-26 11:03:41+00:00,1
allora-network,2024-12-03 19:56:31+00:00,contest,protocol_security_review_master,contest_platform,,2024-12-03 19:56:31+00:00,1
aloe,2023-11-25 17:00:56+00:00,contest,protocol_security_review_master,contest_platform,,2023-11-25 17:00:56+00:00,1
alpha-arcade,2023-07-12 11:31:16+00:00,contest,protocol_security_review_master,contest_platform,,2023-07-12 11:31:16+00:00,1
ambire-wallet,2023-05-19 14:10:06+00:00,contest,protocol_security_review_master,contest_platform,,2023-05-19 14:10:06+00:00,1
amphor,2024-04-30 16:30:11+00:00,contest,protocol_security_review_master,contest_platform,,2024-04-30 16:30:11+00:00,1
amphora,2023-07-14 14:25:40+00:00,contest,protocol_security_review_master,contest_platform,,2023-07-14 14:25:40+00:00,1
amun,2021-12-07 17:18:18+00:00,contest,protocol_security_review_master,contest_platform,,2021-12-07 17:18:18+00:00,1
anchor,2022-01-27 15:47:43+00:00,contest,protocol_security_review_master,contest_platform,,2022-01-27 15:47:43+00:00,1
angle,2023-07-13 18:31:10+00:00,contest,protocol_security_review_master,contest_platform,,2023-07-13 18:31:10+00:00,1
aragon,2023-02-21 11:36:56+00:00,contest,protocol_security_review_master,contest_platform,,2023-02-21 11:36:56+00:00,1
arbitrum,2024-05-02 19:47:44+00:00,contest,protocol_security_review_master,contest_platform,,2024-05-02 19:47:44+00:00,1
arcadia-v2,2024-03-13 20:45:49+00:00,contest,protocol_security_review_master,contest_platform,,2024-03-13 20:45:49+00:00,1
arrakis-v2,2024-06-26 14:33:34+00:00,contest,protocol_security_review_master,contest_platform,,2024-06-26 14:33:34+00:00,1
astaria-v2,2023-01-11 22:06:57+00:00,contest,protocol_security_review_master,contest_platform,,2023-01-11 22:06:57+00:00,1
astrovault,2025-03-16 15:37:08+00:00,contest,protocol_security_review_master,contest_platform,,2025-03-16 15:37:08+00:00,1
aura,2022-05-09 17:57:11+00:00,contest,protocol_security_review_master,contest_platform,,2022-05-09 17:57:11+00:00,1
aurus,2023-05-02 00:27:01+00:00,contest,protocol_security_review_master,contest_platform,,2023-05-02 00:27:01+00:00,1
axelar,2024-08-05 19:00:25+00:00,contest,protocol_security_review_master,contest_platform,,2024-08-05 19:00:25+00:00,1
axion,2025-01-02 09:28:46+00:00,contest,protocol_security_review_master,contest_platform,,2025-01-02 09:28:46+00:00,1
babylon-finance,2025-04-11 17:30:53+00:00,contest,protocol_security_review_master,contest_platform,,2025-04-11 17:30:53+00:00,1
backed,2022-12-09 13:03:49+00:00,contest,protocol_security_review_master,contest_platform,,2022-12-09 13:03:49+00:00,1
badger-dao,2024-06-20 16:16:51+00:00,contest,protocol_security_review_master,contest_platform,,2024-06-20 16:16:51+00:00,1
bakerfi,2025-01-23 19:41:27+00:00,contest,protocol_security_review_master,contest_platform,,2025-01-23 19:41:27+00:00,1
based-next-generation,2025-01-17 23:33:16+00:00,contest,protocol_security_review_master,contest_platform,,2025-01-17 23:33:16+00:00,1
baseyield,2023-05-12 17:04:54+00:00,contest,protocol_security_review_master,contest_platform,,2023-05-12 17:04:54+00:00,1
basin-exchange,2024-08-21 23:36:11+00:00,contest,protocol_security_review_master,contest_platform,,2024-08-21 23:36:11+00:00,1
beam,2023-07-31 11:35:50+00:00,contest,protocol_security_review_master,contest_platform,,2023-07-31 11:35:50+00:00,1
beefy,2024-07-02 22:24:13+00:00,contest,protocol_security_review_master,contest_platform,,2024-07-02 22:24:13+00:00,1
behodler,2022-01-14 19:58:13+00:00,contest,protocol_security_review_master,contest_platform,,2022-01-14 19:58:13+00:00,1
benddao-ape-staking,2024-07-17 16:48:03+00:00,contest,protocol_security_review_master,contest_platform,,2024-07-17 16:48:03+00:00,1
biconomy.com,2022-12-13 14:33:31+00:00,contest,protocol_security_review_master,contest_platform,,2022-12-13 14:33:31+00:00,1
bido-finance,2025-07-07 18:10:22+00:00,contest,protocol_security_review_master,contest_platform,,2025-07-07 18:10:22+00:00,1
bitparty,2023-10-24 09:10:47+00:00,contest,protocol_security_review_master,contest_platform,,2023-10-24 09:10:47+00:00,1
bits,2021-04-28 21:00:56+00:00,contest,protocol_security_review_master,contest_platform,,2021-04-28 21:00:56+00:00,1
blackhole-amm,2025-05-12 15:55:15+00:00,contest,protocol_security_review_master,contest_platform,,2025-05-12 15:55:15+00:00,1
blend-backstop-v2,2025-02-06 18:07:05+00:00,contest,protocol_security_review_master,contest_platform,,2025-02-06 18:07:05+00:00,1
blueberry,2023-09-09 12:07:44+00:00,contest,protocol_security_review_master,contest_platform,,2023-09-09 12:07:44+00:00,1
blur-bids,2022-09-29 01:20:58+00:00,contest,protocol_security_review_master,contest_platform,,2022-09-29 01:20:58+00:00,1
bondlink-finance,2023-08-08 19:59:35+00:00,contest,protocol_security_review_master,contest_platform,,2023-08-08 19:59:35+00:00,1
