chain,address,slug,reason
base,0x41393e5e337606dc3821075af65aee84d7688cbd,aave-v3,no_local_source_and_no_adapter_cache
base,0x08795cfe08c7a81dcdff482bbaaf474b240f31cd,aave-v3,no_local_source_and_no_adapter_cache
base,0xe7d490885a68f00d9886508df281d67263ed5758,aave-v3,no_local_source_and_no_adapter_cache
base,0x53519c32f73fe1797d10210c4950ffeba3b21504,aave-v3,no_local_source_and_no_adapter_cache
base,0xc01372469a17b6716a38f00c277533917b6859c0,aave-v3,no_local_source_and_no_adapter_cache
base,0x57038c3e3fe0a170bb72de2fd56e98e4d1a69717,aave-v3,no_local_source_and_no_adapter_cache
base,0xe2108b60623c6dcf7bbd535bd15a451fd0811f7b,aave-v3,no_local_source_and_no_adapter_cache
base,0x23df2a19384231afd114b036c14b6b03324d79bc,aave-v3,no_local_source_and_no_adapter_cache
base,0x5f2a704ce47b373c908fe8a29514249469b52b99,aave-v3,no_local_source_and_no_adapter_cache
base,0x2d97f8fa96886fd923c065f5457f9ddd494e3877,aave-v3,no_local_source_and_no_adapter_cache
base,0x306c124ffba5f2bc0bcaf40d249cf19d492440b9,aave-v3,no_local_source_and_no_adapter_cache
base,0x33b7d355613110b4e842f5f7057ccd36fb4cee28,aave-v3,no_local_source_and_no_adapter_cache
base,0xa0208ce8356ad6c5ec6dfb8996c9a6b828212022,aave-v3,no_local_source_and_no_adapter_cache
base,0xf2d6e38b407e31e7e7e4a16e6769728b76c7419f,aave-v3,no_local_source_and_no_adapter_cache
base,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,morpho-blue,no_local_source_and_no_adapter_cache
base,0x8413d2a624a9fa8b6d3ec7b22cf7f62e55d6bc83,morpho-blue,no_local_source_and_no_adapter_cache
base,0x1dca6989b0d2b0a546530b3a739e91402eee2e15,morpho-blue,no_local_source_and_no_adapter_cache
base,0x6ee1955afb64146b126162b4ff018db1eb8f08c3,morpho-blue,no_local_source_and_no_adapter_cache
base,0x5e331e9ae6e1a5d375f699811736527222a9db15,morpho-blue,no_local_source_and_no_adapter_cache
base,0xadcdd085ad2887758255090589f72237bdd33d8a,morpho-blue,no_local_source_and_no_adapter_cache
base,0xcb327b99ff831bf8223cced12b1338ff3aa322fa,morpho-blue,no_local_source_and_no_adapter_cache
base,0xadcdd085ad2887758255090589f72237bdd33d8e,morpho-blue,no_local_source_and_no_adapter_cache
base,0xa6030627d724ba78a59acf43be7550b4c5a0653b,morpho-blue,no_local_source_and_no_adapter_cache
base,0x857f3eefe8cbda3bc49367c996cd664a880d3042,morpho-blue,no_local_source_and_no_adapter_cache
base,0xce95afbb8ea029495c66020883f87aae8864af92,morpho-blue,no_local_source_and_no_adapter_cache
base,0x1bf0c2541f820e775182832f06c0b7fc27a25f67,morpho-blue,no_local_source_and_no_adapter_cache
base,0x45d4a31854f09a257ff6b3c3ae0d0f479a898da9,morpho-blue,no_local_source_and_no_adapter_cache
base,0xaffcf1312772583d9d0b9f6e68f5767154b29dfd,morpho-blue,no_local_source_and_no_adapter_cache
base,0xa39c45a857bb82df069f63ca8741a02ebe7e9719,morpho-blue,no_local_source_and_no_adapter_cache
base,0xc69e948a9a5c123704580c46332f90cff1cb215b,morpho-blue,no_local_source_and_no_adapter_cache
base,0x316c0b5cd67aa7c2da7a576d3724e3763981d08f,morpho-blue,no_local_source_and_no_adapter_cache
base,0xd59a2e7d5110dc379910925aa0472a13e09a093e,morpho-blue,no_local_source_and_no_adapter_cache
base,0xc7a357293a35ce4c8d7f2000571043313987aab7,morpho-blue,no_local_source_and_no_adapter_cache
base,0xf14c4fd60765e36d63f6c8b8161bd41ba995fb44,morpho-blue,no_local_source_and_no_adapter_cache
base,0x338a4ef6953b36e67ccf7cffe50ebc74b1d64387,morpho-blue,no_local_source_and_no_adapter_cache
base,0x12fd05a9306affc946cb13301d88a102400544d2,morpho-blue,no_local_source_and_no_adapter_cache
base,0x8a874eb137d99415bad95c5d4399bc691849d02f,morpho-blue,no_local_source_and_no_adapter_cache
base,0x365ab7828ea541c1d6e30472a1a1e7d07600a6bd,morpho-blue,no_local_source_and_no_adapter_cache
base,0xc7056597f3a816202486b5082b3291a2023c9633,morpho-blue,no_local_source_and_no_adapter_cache
base,0x2faaa34f387e6485671faeda7c021ee6af961d35,morpho-blue,no_local_source_and_no_adapter_cache
base,0x2d012edbadc37edc2bc62791b666f9193fdf5a55,morpho-blue,no_local_source_and_no_adapter_cache
base,0xe741bc7c34758b4cae05062794e8ae24978af432,morpho-blue,no_local_source_and_no_adapter_cache
base,0xd85ce6bd68487e0aafb0858fde1cd18c76840564,morpho-blue,no_local_source_and_no_adapter_cache
base,0xc2b1e031540e3f3271c5f3819f0cc7479a8ddd90,morpho-blue,no_local_source_and_no_adapter_cache
base,0xa4ca2c2e25b97da19879201ba49422bc6f181f42,morpho-blue,no_local_source_and_no_adapter_cache
