chain,address,slug,check,impact
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,locked-ether,medium
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,assembly,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,assembly,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,assembly,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,assembly,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,solc-version,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,naming-convention,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,naming-convention,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,naming-convention,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,naming-convention,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,too-many-digits,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,too-many-digits,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,too-many-digits,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,too-many-digits,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,unindexed-event-address,informational
ethereum,0xfc78f8e1af80a3bf5a1783bb59ed2d1b10f78ca9,aura,immutable-states,optimization
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,locked-ether,medium
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,assembly,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,assembly,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,assembly,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,assembly,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,solc-version,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,naming-convention,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,naming-convention,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,naming-convention,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,naming-convention,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,too-many-digits,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,too-many-digits,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,too-many-digits,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,too-many-digits,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,unindexed-event-address,informational
ethereum,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,aura,immutable-states,optimization
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,missing-zero-check,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,missing-zero-check,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,missing-zero-check,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,reentrancy-benign,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,reentrancy-benign,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,reentrancy-benign,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,reentrancy-events,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,reentrancy-events,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,reentrancy-events,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,timestamp,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,timestamp,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,timestamp,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,timestamp,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,timestamp,low
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,assembly,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,assembly,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,solc-version,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,low-level-calls,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,naming-convention,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,naming-convention,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,naming-convention,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,naming-convention,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,naming-convention,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,naming-convention,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,naming-convention,informational
optimism,0x97513e975a7fa9072c72c92d8000b0db90b163c5,aura,constable-states,optimization
arbitrum,0x32eb7902d4134bf98a28b963d26de779af92a212,aura,incorrect-return,high
arbitrum,0x32eb7902d4134bf98a28b963d26de779af92a212,aura,incorrect-return,high
arbitrum,0x32eb7902d4134bf98a28b963d26de779af92a212,aura,incorrect-return,high
arbitrum,0x32eb7902d4134bf98a28b963d26de779af92a212,aura,incorrect-return,high
arbitrum,0x32eb7902d4134bf98a28b963d26de779af92a212,aura,incorrect-return,high
arbitrum,0x32eb7902d4134bf98a28b963d26de779af92a212,aura,incorrect-return,high
arbitrum,0x32eb7902d4134bf98a28b963d26de779af92a212,aura,unused-return,medium
