file,n_issues,unique_rules,rules_top5,sev_counts
data_raw/solhint/json/0x7c1cca5b25fa0bc9af9275fb53cba89dc172b878.solhint.json,0,0,,
data_raw/solhint/json/0x130966628846bfd36ff31a822705796e8cb8c18d.solhint.json,373,14,use-natspec:267;explicit-types:38;reason-string:19;gas-small-strings:13;not-rely-on-time:11,Warning:372;UNKNOWN_SEV:1
data_raw/solhint/json/0x79c05da47dc20ff9376b2f7dbf8ae0c994c3a0d0.solhint.json,0,0,,
data_raw/solhint/json/0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.solhint.json,65,6,use-natspec:43;explicit-types:11;gas-indexed-events:4;reason-string:3;gas-strict-inequalities:3,Warning:64;UNKNOWN_SEV:1
data_raw/solhint/json/0x197e90f9fad81970ba7976f33cbd77088e5d7cf7.solhint.json,91,10,use-natspec:52;explicit-types:21;not-rely-on-time:6;reason-string:3;gas-strict-inequalities:3,Warning:90;UNKNOWN_SEV:1
data_raw/solhint/json/0x59d28af1fc4a52ee402c9099becef333366184df.solhint.json,0,0,,
data_raw/solhint/json/0xf5dce57282a584d2746faf1593d3121fcac444dc.solhint.json,559,16,explicit-types:287;use-natspec:151;gas-indexed-events:42;visibility-modifier-order:17;reason-string:14,Warning:558;UNKNOWN_SEV:1
data_raw/solhint/json/0xb124c4e18a282143d362a066736fd60d22393ef4.solhint.json,351,16,use-natspec:192;explicit-types:92;quotes:22;gas-indexed-events:16;gas-strict-inequalities:6,Warning:328;Error:22;UNKNOWN_SEV:1
data_raw/solhint/json/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.solhint.json,59,11,use-natspec:34;no-inline-assembly:6;gas-small-strings:4;reason-string:4;visibility-modifier-order:3,Warning:58;UNKNOWN_SEV:1
data_raw/solhint/json/0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7.solhint.json,516,11,use-natspec:455;gas-small-strings:20;func-name-mixedcase:17;reason-string:12;gas-strict-inequalities:5,Warning:515;UNKNOWN_SEV:1
data_raw/solhint/json/0x322d6c69048330247165231eb7848a5c80a48878.solhint.json,0,0,,
data_raw/solhint/json/0x33d3071cfa7404a406edb5826a11620282021745.solhint.json,0,0,,
data_raw/solhint/json/0x5a464c28d19848f44199d003bef5ecc87d090f87.solhint.json,302,13,use-natspec:255;reason-string:10;interface-starts-with-i:8;gas-small-strings:8;gas-strict-inequalities:6,Warning:301;UNKNOWN_SEV:1
data_raw/solhint/json/0x3d4e7f52efafb9e0c70179b688fc3965a75bcfea.solhint.json,0,0,,
data_raw/solhint/json/0x0a760466e1b4621579a82a39cb56dda2f4e70f03.solhint.json,569,14,use-natspec:495;func-name-mixedcase:17;gas-small-strings:11;gas-strict-inequalities:7;reason-string:7,Warning:565;Error:3;UNKNOWN_SEV:1
data_raw/solhint/json/0x76a16d9325e9519ef1819a4e7d16b168956f325f.solhint.json,0,0,,
data_raw/solhint/json/0xbcca60bb61934080951369a648fb03df4f96263c.solhint.json,0,0,,
data_raw/solhint/json/0x8b758d7fd0fc58fca8caa5e53af2c7da5f5f8de1.solhint.json,351,16,use-natspec:192;explicit-types:92;quotes:22;gas-indexed-events:16;gas-strict-inequalities:6,Warning:328;Error:22;UNKNOWN_SEV:1
data_raw/solhint/json/0xf60becbba223eea9495da3f606753867ec10d139.solhint.json,0,0,,
data_raw/solhint/json/0xa3931d71877c0e7a3148cb7eb4463524fec27fbd.solhint.json,0,0,,
data_raw/solhint/json/0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60.solhint.json,0,0,,
data_raw/solhint/json/0xa2e3356610840701bdf5611a53974510ae27e2e1.solhint.json,56,9,use-natspec:31;gas-small-strings:7;reason-string:5;no-inline-assembly:5;gas-indexed-events:3,Warning:55;UNKNOWN_SEV:1
data_raw/solhint/json/0x6b3595068778dd592e39a122f4f5a5cf09c90fe2.solhint.json,183,12,use-natspec:123;gas-small-strings:23;reason-string:13;explicit-types:8;gas-strict-inequalities:6,Warning:182;UNKNOWN_SEV:1
data_raw/solhint/json/0x158079ee67fce2f58472a96584a73c7ab9ac95c1.solhint.json,559,16,explicit-types:287;use-natspec:151;gas-indexed-events:42;visibility-modifier-order:17;reason-string:14,Warning:558;UNKNOWN_SEV:1
data_raw/solhint/json/0x2fcb47b58350cd377f94d3821e7373df60bd9ced.solhint.json,0,0,,
data_raw/solhint/json/0x6f7d514bbd4aff3bcd1140b7344b32f063dee486.solhint.json,0,0,,
data_raw/solhint/json/0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7.solhint.json,65,6,use-natspec:43;explicit-types:11;gas-indexed-events:4;reason-string:3;gas-strict-inequalities:3,Warning:64;UNKNOWN_SEV:1
data_raw/solhint/json/0x94a7432b811e29128964fba993f159928744e7c7.solhint.json,0,0,,
data_raw/solhint/json/0x4c5be0fea74c33455f81c85561146bdaf09633da.solhint.json,351,16,use-natspec:192;explicit-types:92;quotes:22;gas-indexed-events:16;gas-strict-inequalities:6,Warning:328;Error:22;UNKNOWN_SEV:1
data_raw/solhint/json/0x78df1cf5bf06a7f27f2acc580b934238c1b80d50.solhint.json,0,0,,
