name,exploit_date,classification,technique,loss_usd,chain,bridgeHack,targetType,returnedFunds,defillamaId,language,source_url,parentProtocolId,extra_source,extra_attack_method,extra_loss_usd,extra_protocol,extra_date
Super Sushi Samurai,3/22/24,Protocol Logic,Infinite Mint and Dump,4800000,Blast,FALSE,Gaming,,,Solidity,https://rekt.news/sss-rekt/,,,,,,
Unizen,3/8/24,Protocol Logic,External Call Vulnerability,2100000,Ethereum,FALSE,DeFi Protocol,2100000,1336,Solidity,https://twitter.com/peckshield/status/1766210445415727608,,,,,,
AutoShark,5/24/21,Ecosystem,Flashloan Incentive Rewards Exploit,745000,BSC,FALSE,DeFi Protocol,,1074,,https://watchpug.medium.com/sharkfinance-performance-fee-minting-incident-analysis-4b2e3bd03923,,,,,,
Siren,9/3/21,Smart Contract Language,Reentrancy,3450000,Polygon,FALSE,DeFi Protocol,,203,Solidity,https://twitter.com/BlockSecTeam/status/1433682132090568705?s=20&t=yoeOhpvaWABdrYwfwtTJ0Q,,,,,,
MangoFarmSol,1/7/24,Rugpull,Frontend Attack,2000000,Solana,FALSE,DeFi Protocol,,,Rust,https://cointelegraph.com/news/funds-mangofarmsol-drained-community-rug-pull,,,,,,
MyAlgo,2/27/23,Infrastructure,Cloudflare Key Compromised,9200000,Algorand,FALSE,Wallet,,,Javascript,https://twitter.com/zachxbt/status/1630375691886686208?s=20,,,,,,
Zunami Protocol,5/15/25,Protocol Logic,withdrawStuckToken() exploit,500000,Ethereum,FALSE,DeFi Protocol,,1201,Solidity,https://x.com/ZunamiProtocol/status/1922993510925435267,,,,,,
Impermax V3,11/11/25,Protocol Logic,Zero-Rate Hack,380000,Base,FALSE,DeFi Protocol,,5981,Solidity,https://x.com/hklst4r/status/1988339762537918895,parent#impermax-finance,,,,,
DAO Maker Vesting,8/12/21,Infrastructure,Private Key Compromised (Unknown Method),7000000,Ethereum,FALSE,DeFi Protocol,,921,,https://cointelegraph.com/news/dao-maker-crowdfunding-platform-loses-7m-in-latest-defi-exploit,parent#dao-maker,,,,,
M2 Exchange,10/31/24,Protocol Logic,Access Control Exploit,13700000,"Ethereum,Solana,Bitcoin",FALSE,CEX,,,,https://x.com/CyversAlerts/status/1852303223903633572,,,,,,
UPCX,4/1/25,Protocol Logic,Upgraded ProxyAdmin + withdrawByAdmin Hack,,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/cyversalerts/status/1907046941906653633,,,,,,
four.meme,2/11/25,Protocol Logic,Liquidity Pool Exploit,183000,BSC,FALSE,DeFi Protocol,,5174,Solidity,https://x.com/peckshieldalert/status/1889210001220423765,,,,,,
Multichain,7/10/21,Protocol Logic,Private Key Compromised (Bad ECDSA Implementation),7900000,"Ethereum,BSC,Fantom",TRUE,CEX,,591,Solidity,https://rekt.news/anyswap-rekt/,,,,,,
Kannagi,7/30/23,Rugpull,Drained Contracts,1100000,"zkSync Era,Ethereum",FALSE,DeFi Protocol,,,,https://x.com/PeckShieldAlert/status/1685162644653973510,,,,,,
xToken,5/12/21,Ecosystem,Flashloan Price Oracle Attack,24000000,Ethereum,FALSE,DeFi Protocol,,206,Solidity,https://twitter.com/FrankResearcher/status/1392515198674681863?s=20,,ChainSec,,24500000.0,xToken,2021-05-12
BingX,9/20/24,Infrastructure,Hot wallet hack,43300000,Ethereum,FALSE,CEX,,4859,,https://x.com/OnchainDataNerd/status/1836977341094150398,,,,,,
Thorchain DEX,7/22/21,Protocol Logic,Refund Logic Exploit,8000000,Ethereum,FALSE,DeFi Protocol,,412,Solidity,https://rekt.news/thorchain-rekt2/,,,,,,
DAO Maker Vesting,9/4/21,Protocol Logic,Access Control Exploit,4000000,Ethereum,FALSE,DeFi Protocol,,921,Solidity,https://twitter.com/Mudit__Gupta/status/1434059922774237185?s=20&t=aoOtJLS6FHimjAE1anc1mg,parent#dao-maker,,,,,
Safe Dollar,6/28/21,Protocol Logic,Incentive Rewards Exploit,248000,Polygon,FALSE,DeFi Protocol,,424,Solidity,https://rekt.news/safedollar-rekt/,,ChainSec,,248000.0,SafeDollar,2021-06-28
BetterBank,8/26/25,Protocol Logic,Infinite Mint and Dump,5000000,PulseChain,FALSE,DeFi Protocol,,6611,Solidity,https://x.com/BetterBank_io/status/1960409391628189749,,,,,,
Grand Base,4/15/24,Infrastructure,Private Key Compromised (Unknown Method),1700000,Base,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/PeckShieldAlert/status/1779796368732872856,,,,,,
FixedFloat,2/18/24,Infrastructure,Private Key Compromised,26100000,"Ethereum,Bitcoin",FALSE,DeFi Protocol,,,,https://cointelegraph.com/news/fixed-float-confirms-26m-exploit-bitcoin-ether,,,,,,
