chain,contract_address,slug_clean,n_alerts_high,n_alerts_info,n_alerts_low,n_alerts_medium,n_alerts_optimization,n_alerts_total,has_high,has_medium,has_high_medium,max_impact,n_alerts_highmed,n_unique_checks_highmed,has_access_control_authz,has_arithmetic_precision,has_erc20_token_safety,has_ether_handling,has_init_state_shadowing,has_logic_sanity,has_lowlevel_delegatecall,has_other,has_randomness,has_reentrancy
arbitrum,0x01b6407adf740d135ddf1ebdd1529407845773f3,unknown,6,20,2,4,0,32,1,1,1,high,10,2,0,0,0,0,0,1,0,0,0,0
arbitrum,0x029a4a97e892e7270d9b3b90bfef95599bc6bfd6,unknown,0,14,0,1,1,16,0,1,1,medium,1,1,0,0,0,1,0,0,0,0,0,0
arbitrum,0x02c282f60fb2f3299458c2b85eb7e303b25fc6f0,unknown,6,20,2,4,0,32,1,1,1,high,10,2,0,0,0,0,0,1,0,0,0,0
arbitrum,0x02d0123a89ae6ef27419d5ebb158d1ed4cf24fa3,unknown,6,20,2,4,0,32,1,1,1,high,10,2,0,0,0,0,0,1,0,0,0,0
arbitrum,0x03ff2d78afb69e0859ec6beb4cf107d3741e97ab,unknown,0,14,0,1,1,16,0,1,1,medium,1,1,0,0,0,1,0,0,0,0,0,0
arbitrum,0x04901268ee65e989852370c0bad08e1514a0c484,unknown,6,20,2,4,0,32,1,1,1,high,10,2,0,0,0,0,0,1,0,0,0,0
arbitrum,0x04ec26b47e48f60740c803ba93b1a6c9e83cafaa,unknown,0,14,0,1,1,16,0,1,1,medium,1,1,0,0,0,1,0,0,0,0,0,0
arbitrum,0x057153eb8ad87bd483ff9ec4e411b8c3bce90ff0,unknown,0,3,0,0,0,3,0,0,0,informational,0,0,0,0,0,0,0,0,0,0,0,0
arbitrum,0x07d49375a3213ef25aaa47c97a2d23a754bb8f8a,unknown,3,22,4,11,3,43,1,1,1,high,14,5,0,1,0,0,1,1,0,0,0,0
arbitrum,0x088cd8f5ef3652623c22d48b1605dcfe860cd704,vela-exchange,1,13,0,8,1,23,1,1,1,high,9,2,0,1,0,0,0,0,0,0,0,0
arbitrum,0x09090e22118b375f2c7b95420c04414e4bf68e1a,unknown,0,25,7,1,8,41,0,1,1,medium,1,1,0,1,0,0,0,0,0,0,0,0
arbitrum,0x0bac1a3d569c16d8ad9d3ab37f61daf18dcff781,unknown,6,20,2,4,0,32,1,1,1,high,10,2,0,0,0,0,0,1,0,0,0,0
arbitrum,0x0d189fd8d46e43b2f13390de95d4f8e185eb3914,unknown,0,14,0,1,1,16,0,1,1,medium,1,1,0,0,0,1,0,0,0,0,0,0
arbitrum,0x0ddce00654f968ded59a444da809f2b234047ab1,empyreal,3,16,3,9,2,33,1,1,1,high,12,5,0,1,1,0,1,0,1,0,0,0
arbitrum,0x0eb5b03c0303f2f47cd81d7be4275af8ed347576,unknown,0,14,0,1,1,16,0,1,1,medium,1,1,0,0,0,1,0,0,0,0,0,0
arbitrum,0x0f6f73c7ecce4fb9861e25dabde79cba112550b3,unknown,1,10,4,0,0,15,1,0,1,high,1,1,0,0,0,0,0,0,0,0,0,1
arbitrum,0x0fae768ef2191fdfcb2c698f691c49035a53ef0f,unknown,6,20,2,4,0,32,1,1,1,high,10,2,0,0,0,0,0,1,0,0,0,0
arbitrum,0x100ec08129e0fd59959df93a8b914944a3bbd5df,unknown,6,20,2,4,0,32,1,1,1,high,10,2,0,0,0,0,0,1,0,0,0,0
arbitrum,0x1054e9d9091dc55a1738f9c8fc0c79e59e222804,unknown,0,14,0,1,1,16,0,1,1,medium,1,1,0,0,0,1,0,0,0,0,0,0
arbitrum,0x1058afe66bb5b79c295ccce51016586949bc4e8d,cap,1,9,13,0,0,23,1,0,1,high,1,1,0,0,1,0,0,0,0,0,0,0
arbitrum,0x12d773bb0c679d4dfbaf700086dc5e399656f892,unknown,4,41,12,15,6,78,1,1,1,high,19,3,0,1,1,0,1,0,0,0,0,0
arbitrum,0x1382ecdf09507ba87022c79312dfafb2a5063d73,arbicheems,0,13,10,0,2,25,0,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0
arbitrum,0x15084e92785027d4d4918cabfa11281fc15bf9ac,unknown,3,37,20,3,5,68,1,1,1,high,6,3,0,1,0,0,0,0,0,0,0,1
arbitrum,0x160ca569999601bca06109d42d561d85d6bb4b57,unknown,6,20,2,4,0,32,1,1,1,high,10,2,0,0,0,0,0,1,0,0,0,0
