chain,contract_address,mythril_title,severity
ethereum,0x8c81121b15197fa0eeaee1dc75533419dcfd3151,Delegatecall to user-supplied address,High
ethereum,0x8c81121b15197fa0eeaee1dc75533419dcfd3151,Delegatecall to user-supplied address,High
ethereum,0x66be1bc6c6af47900bbd4f3711801be6c2c6cb32,High,Unprotected Selfdestruct,106
ethereum,0x83d1b4277454edacf54a14fc586326386648a959,Medium,requirement violation,123
ethereum,0xaa137ec3474ab407f3be37b16576227dfe75eb8d,Medium,requirement violation,123
ethereum,0xaa137ec3474ab407f3be37b16576227dfe75eb8d,Medium,requirement violation,123
arbitrum,0x907e5d334f27a769ef779358089fe5fdaa6cf2bb,Low,Dependence on predictable environment variable,120
arbitrum,0x907e5d334f27a769ef779358089fe5fdaa6cf2bb,Low,Dependence on predictable environment variable,116
ethereum,0x49690541e3f6e933a9aa3cffee6010a7bb5b72d7,High,Integer Arithmetic Bugs,101
ethereum,0x49690541e3f6e933a9aa3cffee6010a7bb5b72d7,Medium,Exception State,110
avalanche,0x1f4292cf1c0fda5ef1c3e9d1e59c13bd1808dd10,Low,Dependence on predictable environment variable,116
avalanche,0x1f4292cf1c0fda5ef1c3e9d1e59c13bd1808dd10,Low,Dependence on predictable environment variable,116
avalanche,0x1f4292cf1c0fda5ef1c3e9d1e59c13bd1808dd10,Low,Dependence on predictable environment variable,116
avalanche,0x89a8633bcad3af0951acc5137811ea21a17c37dc,High,Integer Arithmetic Bugs,101
avalanche,0x89a8633bcad3af0951acc5137811ea21a17c37dc,High,Integer Arithmetic Bugs,101
avalanche,0x89a8633bcad3af0951acc5137811ea21a17c37dc,High,Integer Arithmetic Bugs,101
ethereum,0x7a56e1c57c7475ccf742a1832b028f0456652f97,High,Delegatecall to user-supplied address,112
ethereum,0x7a56e1c57c7475ccf742a1832b028f0456652f97,Low,Multiple Calls in a Single Transaction,113
ethereum,0xd9d920aa40f578ab794426f5c90f6c731d159def,High,Delegatecall to user-supplied address,112
ethereum,0xd9d920aa40f578ab794426f5c90f6c731d159def,Low,Multiple Calls in a Single Transaction,113
base,0x28c9c71c776a1203000b56c0cca48bef1cd51c53,Low,External Call To User-Supplied Address,107
