slug,address,guess,category,tvl,chains,scrape_ts,protocol_name,category_meta,tvl_meta,chain,category_final,tvl_final,meta_chain_norm,guess_chain_norm,chain_bucket,tvl_tier,stratum
crvusd,0xb7e69749e3d2edd90ea59a4932efea2d41e245d7,avalanche,CDP,227647793.66210175,Ethereum,2025-10-04 12:34:50,crvUSD,CDP,215301020.7400198,Ethereum,CDP,227647793.66210175,ethereum,avalanche,ethereum,100M-1B,CDP||ethereum||100M-1B
crvusd,0xb4b01216a5bc8f1c8a33cd990a1239030e60c905,base,CDP,227647793.66210175,Ethereum,2025-10-04 12:34:50,crvUSD,CDP,215301020.7400198,Ethereum,CDP,227647793.66210175,ethereum,base,ethereum,100M-1B,CDP||ethereum||100M-1B
reservoir-protocol,0x6811742721dcce83942739d44e40f140b5bcee37,ethereum,CDP,190939434.0938585,Ethereum;Berachain,2025-10-04 12:35:42,Reservoir Protocol,CDP,167377322.18619174,Multi-Chain,CDP,190939434.0938585,multi,ethereum,ethereum,100M-1B,CDP||ethereum||100M-1B
save,0x191c10aa4af7c30e871e70c95db0e4eb77237530,base,Lending,242203421.82952425,Solana;Eclipse,2025-10-04 12:34:48,Save,Lending,220634606.81422845,Multi-Chain,Lending,242203421.82952425,multi,base,base,100M-1B,Lending||base||100M-1B
aura,0x6c56e72c551b5ac4bf54a620a76077ca768c8fe4,base,Yield,430566630.1862264,Ethereum;Base;Arbitrum;xDai;Optimism;Polygon;Avalanche;Fraxtal;Polygon zkEVM,2025-10-04 12:31:16,Aura,Yield,409847162.0823379,Multi-Chain,Yield,430566630.1862264,multi,base,base,100M-1B,Yield||base||100M-1B
aura,0xcaf3fb1b03f1d71a110167327f5106be82bee209,base,Yield,430566630.1862264,Ethereum;Base;Arbitrum;xDai;Optimism;Polygon;Avalanche;Fraxtal;Polygon zkEVM,2025-10-04 12:31:16,Aura,Yield,409847162.0823379,Multi-Chain,Yield,430566630.1862264,multi,base,base,100M-1B,Yield||base||100M-1B
crvusd,0xff204e2681a6fa0e2c3fade68a1b28fb90e4fc5f,base,CDP,227647793.66210175,Ethereum,2025-10-04 12:34:50,crvUSD,CDP,215301020.7400198,Ethereum,CDP,227647793.66210175,ethereum,base,ethereum,100M-1B,CDP||ethereum||100M-1B
echelon-market,0xfaf4e633ae9eb31366c9ca24214231760926576c,,Lending,225601413.1284428,Aptos;Echelon Chain,2025-10-04 12:34:59,Echelon Market,Lending,199978788.25504556,Multi-Chain,Lending,225601413.1284428,multi,unknown,unknown,100M-1B,Lending||unknown||100M-1B
crvusd,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,base,CDP,227647793.66210175,Ethereum,2025-10-04 12:34:50,crvUSD,CDP,215301020.7400198,Ethereum,CDP,227647793.66210175,ethereum,base,ethereum,100M-1B,CDP||ethereum||100M-1B
convex-finance,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,ethereum,Yield,1202343256.3029337,Ethereum;Fraxtal;Arbitrum;Polygon,2025-10-04 12:28:07,Convex Finance,Yield,1109236163.615282,Multi-Chain,Yield,1202343256.3029337,multi,ethereum,ethereum,>=1B,Yield||ethereum||>=1B
