term,coef,se_cluster_slug,stat,p,model
Intercept,-33.17368913110014,7.380246387868291e-05,-449492.9760831741,0.0,glm_binomial_cluster
C(year)[T.2019],-20.70722031063336,3.5402702492306814e-09,-5849050737.054083,0.0,glm_binomial_cluster
C(year)[T.2020],2.199713940793604,9.17157047346131e-08,23984048.829572387,0.0,glm_binomial_cluster
C(year)[T.2021],3.701013804971196,8.2672858010434e-07,4476697.545044466,0.0,glm_binomial_cluster
C(year)[T.2022],3.842705839195782,9.875947607377487e-07,3890974.306430322,0.0,glm_binomial_cluster
C(year)[T.2023],4.1948344201495775,1.6047988686315895e-06,2613931.566219578,0.0,glm_binomial_cluster
C(year)[T.2024],3.8431759308465594,9.982656350369018e-07,3849852.9809698323,0.0,glm_binomial_cluster
C(year)[T.2025],4.113235789788433,1.4133722628066702e-06,2910228.181229751,0.0,glm_binomial_cluster
C(category_llama)[T.Algo-Stables],22.634157569470066,1.0939231110986747,20.690812123657935,4.190949027781545e-95,glm_binomial_cluster
C(category_llama)[T.Anchor BTC],-0.5070145934959133,618988.7404877124,-8.191014800954656e-07,0.9999993464515753,glm_binomial_cluster
C(category_llama)[T.Basis Trading],-0.41542898299790626,7.711653881894604e-05,-5387.028377573442,0.0,glm_binomial_cluster
C(category_llama)[T.Bridge],24.578900192466172,0.00013046806843465658,188390.15927315754,0.0,glm_binomial_cluster
C(category_llama)[T.Bridge Aggregator],0.18511288291949704,8.748611700160812e-05,2115.911521322799,0.0,glm_binomial_cluster
C(category_llama)[T.Bug Bounty],-0.25993570563640045,0.00011474076966447694,-2265.4171346113517,0.0,glm_binomial_cluster
C(category_llama)[T.CDP],24.543871886209082,0.3193112399987735,76.86504203955789,0.0,glm_binomial_cluster
C(category_llama)[T.CDP Manager],-0.5307602452607846,0.00011469094068757546,-4627.743412678123,0.0,glm_binomial_cluster
C(category_llama)[T.CEX],25.413814943832385,0.2247413700989093,113.0802705912476,0.0,glm_binomial_cluster
C(category_llama)[T.Canonical Bridge],23.762746213566395,0.7430648651431838,31.979369942336685,2.1109795342941056e-224,glm_binomial_cluster
C(category_llama)[T.CeDeFi],-0.33922913383622655,9.135632467696864e-05,-3713.2528594568976,0.0,glm_binomial_cluster
C(category_llama)[T.Chain],24.108137448837635,0.576783585034118,41.797544303226985,0.0,glm_binomial_cluster
C(category_llama)[T.Chain Bribes],0.18511298444344115,0.00014455418860294777,1280.5784891636567,0.0,glm_binomial_cluster
C(category_llama)[T.Charity Fundraising],0.07636856245298962,9.629585407990059e-05,793.0617904860526,0.0,glm_binomial_cluster
C(category_llama)[T.Coins Tracker],0.18511296603505528,0.00011476654250176853,1612.952363988858,0.0,glm_binomial_cluster
C(category_llama)[T.Collateral Management],-0.49756995515611546,0.00014455418836456773,-3442.099885070344,0.0,glm_binomial_cluster
C(category_llama)[T.Cross Chain Bridge],23.534239210887854,1.002929598411963,23.465494734776925,9.184611816346244e-122,glm_binomial_cluster
C(category_llama)[T.DAO Service Provider],0.17661536401197675,9.648133584857164e-05,1830.5650772619506,0.0,glm_binomial_cluster
C(category_llama)[T.DCA Tools],-0.16288101913205222,9.634672720856836e-05,-1690.5713753976563,0.0,glm_binomial_cluster
C(category_llama)[T.DEX Aggregator],24.348891451674678,0.4951463657717528,49.17513918076249,0.0,glm_binomial_cluster
C(category_llama)[T.DOR],-0.5581217038470963,0.0001447620774136324,-3855.441382292137,0.0,glm_binomial_cluster
C(category_llama)[T.DePIN],0.18511298380712587,0.00014455418846698597,1280.5784859662017,0.0,glm_binomial_cluster
C(category_llama)[T.Decentralized BTC],-0.47328640687044066,9.640692706216256e-05,-4909.257262865236,0.0,glm_binomial_cluster
C(category_llama)[T.Derivatives],24.0951815994159,0.2718974305702567,88.6186439823301,0.0,glm_binomial_cluster
C(category_llama)[T.Developer Tools],0.18509948967314194,7.940459382057484e-05,2331.092960331724,0.0,glm_binomial_cluster
C(category_llama)[T.Dexs],23.483867269471666,0.1649313709204571,142.38569132368056,0.0,glm_binomial_cluster
C(category_llama)[T.Domains],0.18511289852722562,8.748611778536976e-05,2115.9116807693335,0.0,glm_binomial_cluster
C(category_llama)[T.Dual-Token Stablecoin],-0.32970036825205373,8.537987846277229e-05,-3861.5698943142806,0.0,glm_binomial_cluster
C(category_llama)[T.Farm],21.94547727454184,1.0007061923594454,21.929990482820163,1.3445554785463818e-106,glm_binomial_cluster
C(category_llama)[T.Foundation],0.18511292150692243,9.23938683683254e-05,2003.5195492516375,0.0,glm_binomial_cluster
C(category_llama)[T.Gaming],23.769071435172112,0.7045287296572564,33.73754743363757,1.62800503172572e-249,glm_binomial_cluster
C(category_llama)[T.Governance Incentives],-0.15782110102610192,8.116461656682049e-05,-1944.4569284224037,0.0,glm_binomial_cluster
C(category_llama)[T.Indexes],24.02198228794102,0.5719152149683031,42.002698405693536,0.0,glm_binomial_cluster
C(category_llama)[T.Insurance],25.003319415666155,0.5531474077525371,45.201910133242365,0.0,glm_binomial_cluster
C(category_llama)[T.Interface],0.16921481358229773,7.772222653108045e-05,2177.1740354688654,0.0,glm_binomial_cluster
C(category_llama)[T.Launchpad],23.55405299906795,0.5740846581435027,41.028884268111184,0.0,glm_binomial_cluster
C(category_llama)[T.Lending],25.08418772007298,0.12366314979051285,202.84286598364955,0.0,glm_binomial_cluster
