file,n_issues,n_unique_rules,rule__one-contract-per-file,rule__use-natspec,rule__gas-indexed-events,rule__explicit-types,rule__reason-string,rule__gas-small-strings,rule__max-states-count,rule__immutable-vars-naming,rule__gas-strict-inequalities,rule__not-rely-on-time,rule__func-name-mixedcase,rule__no-inline-assembly,rule__gas-increment-by-one,rule__UNKNOWN_RULE,sev__Warning,sev__UNKNOWN_SEV,rule__var-name-mixedcase,rule__state-visibility,rule__interface-starts-with-i,rule__const-name-snakecase,rule__visibility-modifier-order,rule__function-max-lines,rule__quotes,rule__avoid-low-level-calls,sev__Error,rule__no-empty-blocks,rule__avoid-call-value,rule__contract-name-capwords,rule__gas-custom-errors,rule__no-complex-fallback,rule__gas-calldata-parameters
0x7c1cca5b25fa0bc9af9275fb53cba89dc172b878.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x130966628846bfd36ff31a822705796e8cb8c18d.solhint.json,373,14,1.0,267.0,5.0,38.0,19.0,13.0,1.0,2.0,10.0,11.0,2.0,1.0,2.0,1.0,372.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x79c05da47dc20ff9376b2f7dbf8ae0c994c3a0d0.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.solhint.json,65,6,0.0,43.0,4.0,11.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x197e90f9fad81970ba7976f33cbd77088e5d7cf7.solhint.json,91,10,1.0,52.0,0.0,21.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,0.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x59d28af1fc4a52ee402c9099becef333366184df.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf5dce57282a584d2746faf1593d3121fcac444dc.solhint.json,559,16,1.0,151.0,42.0,287.0,14.0,13.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,1.0,558.0,1.0,0.0,8.0,3.0,6.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xb124c4e18a282143d362a066736fd60d22393ef4.solhint.json,351,16,1.0,192.0,16.0,92.0,5.0,6.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,328.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,22.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.solhint.json,59,11,1.0,34.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,58.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7.solhint.json,516,11,1.0,455.0,2.0,0.0,12.0,20.0,0.0,0.0,5.0,0.0,17.0,0.0,1.0,1.0,515.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
